Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,14,New Orleans SaintsVPhiladelphia Eagles,PHI,Miles Sanders,RB,0,0,2,115,4,0,21,0,0,0,0,0,0,0,0,0,0,0,27.6
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Taysom Hill,QB,2,291,0,33,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.94
2020,14,New Orleans SaintsVPhiladelphia Eagles,PHI,Jalen Hurts,QB,1,167,0,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.28
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Alvin Kamara,RB,0,0,1,50,7,0,44,0,0,0,0,0,0,0,0,0,0,0,18.9
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Michael Thomas,WR,0,0,0,0,8,0,84,0,0,0,0,0,0,0,0,0,0,0,12.4
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Emmanuel Sanders,WR,0,0,0,0,3,1,48,0,0,0,0,0,0,0,0,0,0,0,12.3
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Jared Cook,TE,0,0,0,0,3,1,37,0,0,0,0,0,0,0,0,0,0,0,11.2
2020,14,New Orleans SaintsVPhiladelphia Eagles,PHI,Alshon Jeffery,WR,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,8.0
2020,14,New Orleans SaintsVPhiladelphia Eagles,PHI,Jalen Reagor,WR,0,0,0,19,2,0,46,0,0,0,0,0,0,0,0,0,0,0,7.5
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Tre'Quan Smith,WR,0,0,0,0,3,0,60,0,0,0,0,0,0,0,0,0,0,0,7.5
2020,14,New Orleans SaintsVPhiladelphia Eagles,PHI,Jake Elliott,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7.0
2020,14,New Orleans SaintsVPhiladelphia Eagles,PHI,Dallas Goedert,TE,0,0,0,0,4,0,43,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,14,New Orleans SaintsVPhiladelphia Eagles,PHI,Greg Ward,WR,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,3.0
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Wil Lutz,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2020,14,New Orleans SaintsVPhiladelphia Eagles,PHI,Boston Scott,RB,0,0,0,6,1,0,11,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,14,New Orleans SaintsVPhiladelphia Eagles,PHI,Zach Ertz,TE,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Adam Trautman,TE,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Juwan Johnson,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Latavius Murray,RB,0,0,0,13,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,14,New Orleans SaintsVPhiladelphia Eagles,PHI,Quez Watkins,WR,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Josh Hill,TE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,14,New Orleans SaintsVPhiladelphia Eagles,NOR,Tommylee Lewis,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
