Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,14,Pittsburgh SteelersVBuffalo Bills,BUF,Stefon Diggs,WR,0,0,0,1,10,1,130,0,0,0,0,0,0,0,0,0,0,0,24.1
2020,14,Pittsburgh SteelersVBuffalo Bills,BUF,Josh Allen,QB,2,238,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.32
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,Ben Roethlisberger,QB,2,187,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,15.48
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,JuJu Smith-Schuster,WR,0,0,0,0,6,1,55,0,0,0,0,0,0,0,0,0,0,0,14.5
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,James Washington,WR,0,0,0,0,3,1,29,0,0,0,0,0,0,0,0,0,0,0,10.4
2020,14,Pittsburgh SteelersVBuffalo Bills,BUF,Gabriel Davis,WR,0,0,0,0,3,1,19,0,0,0,0,0,0,0,0,0,0,0,9.4
2020,14,Pittsburgh SteelersVBuffalo Bills,BUF,Tyler Bass,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,8.0
2020,14,Pittsburgh SteelersVBuffalo Bills,BUF,Cole Beasley,WR,0,0,0,0,5,0,41,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,Eric Ebron,TE,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,1,6.0
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,Diontae Johnson,WR,0,0,0,0,4,0,40,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,Jaylen Samuels,RB,0,0,0,15,3,0,18,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,14,Pittsburgh SteelersVBuffalo Bills,BUF,Zack Moss,RB,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,14,Pittsburgh SteelersVBuffalo Bills,BUF,Devin Singletary,RB,0,0,0,32,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3.9
2020,14,Pittsburgh SteelersVBuffalo Bills,BUF,Dawson Knox,TE,0,0,0,0,4,0,34,0,1,0,0,0,0,0,0,0,0,0,3.4
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,Chase Claypool,WR,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,3.0
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,James Conner,RB,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,14,Pittsburgh SteelersVBuffalo Bills,BUF,Isaiah McKenzie,WR,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,Benny Snell Jr.,RB,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,Chris Boswell,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,Vance McDonald,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,14,Pittsburgh SteelersVBuffalo Bills,PIT,Ray-Ray McCloud,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,14,Pittsburgh SteelersVBuffalo Bills,BUF,Andre Roberts,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
