Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,15,Chicago BearsVMinnesota Vikings,CHI,David Montgomery,RB,0,0,2,146,1,0,16,0,0,0,0,0,0,0,0,0,0,0,28.7
2020,15,Chicago BearsVMinnesota Vikings,MIN,Dalvin Cook,RB,0,0,1,132,5,0,27,0,0,0,0,0,0,0,0,0,0,0,24.4
2020,15,Chicago BearsVMinnesota Vikings,MIN,Kirk Cousins,QB,2,271,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.34
2020,15,Chicago BearsVMinnesota Vikings,CHI,Cairo Santos,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,18.0
2020,15,Chicago BearsVMinnesota Vikings,CHI,Darnell Mooney,WR,0,0,0,16,4,1,49,0,0,0,0,0,0,0,0,0,0,0,14.5
2020,15,Chicago BearsVMinnesota Vikings,CHI,Mitchell Trubisky,QB,1,202,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.48
2020,15,Chicago BearsVMinnesota Vikings,MIN,Justin Jefferson,WR,0,0,0,0,8,0,104,0,0,0,0,0,0,0,0,0,0,0,14.4
2020,15,Chicago BearsVMinnesota Vikings,MIN,Tyler Conklin,TE,0,0,0,0,3,1,57,0,0,0,0,0,0,0,0,0,0,0,13.2
2020,15,Chicago BearsVMinnesota Vikings,CHI,Allen Robinson,WR,0,0,0,0,4,0,83,0,0,0,0,0,0,0,0,0,0,0,10.3
2020,15,Chicago BearsVMinnesota Vikings,MIN,Dan Bailey,K,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,9.0
2020,15,Chicago BearsVMinnesota Vikings,MIN,Adam Thielen,WR,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,8.1
2020,15,Chicago BearsVMinnesota Vikings,MIN,Irv Smith Jr.,TE,0,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,5.2
2020,15,Chicago BearsVMinnesota Vikings,CHI,Jimmy Graham,TE,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,15,Chicago BearsVMinnesota Vikings,MIN,Chad Beebe,WR,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,15,Chicago BearsVMinnesota Vikings,CHI,Cole Kmet,TE,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,15,Chicago BearsVMinnesota Vikings,MIN,Alexander Mattison,RB,0,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,15,Chicago BearsVMinnesota Vikings,CHI,Anthony Miller,WR,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,15,Chicago BearsVMinnesota Vikings,CHI,Cordarrelle Patterson,WR,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,15,Chicago BearsVMinnesota Vikings,CHI,Javon Wims,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Chicago BearsVMinnesota Vikings,CHI,J.P. Holtz,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Chicago BearsVMinnesota Vikings,MIN,Ameer Abdullah,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
