Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,15,Detroit LionsVTennessee Titans,TEN,Ryan Tannehill,QB,3,273,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.02
2020,15,Detroit LionsVTennessee Titans,TEN,Derrick Henry,RB,0,0,1,147,2,0,5,0,0,0,0,0,0,0,0,0,0,1,24.2
2020,15,Detroit LionsVTennessee Titans,DET,Marvin Jones,WR,0,0,0,0,10,1,112,0,0,0,0,0,0,0,0,0,0,0,22.2
2020,15,Detroit LionsVTennessee Titans,DET,D'Andre Swift,RB,0,0,2,67,4,0,15,0,1,0,0,0,0,0,0,0,0,0,20.2
2020,15,Detroit LionsVTennessee Titans,TEN,Corey Davis,WR,0,0,0,0,4,1,110,0,0,0,0,0,0,0,0,0,0,0,19.0
2020,15,Detroit LionsVTennessee Titans,DET,Matthew Stafford,QB,1,252,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.28
2020,15,Detroit LionsVTennessee Titans,TEN,A.J. Brown,WR,0,0,0,0,5,1,44,0,0,0,0,0,0,0,0,0,0,0,12.9
2020,15,Detroit LionsVTennessee Titans,TEN,Darrynton Evans,RB,0,0,0,30,2,1,27,0,0,0,0,0,0,0,0,0,0,0,12.7
2020,15,Detroit LionsVTennessee Titans,TEN,Stephen Gostkowski,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,8.0
2020,15,Detroit LionsVTennessee Titans,TEN,Jonnu Smith,TE,0,0,0,0,5,0,52,0,0,0,0,0,0,0,0,0,0,0,7.7
2020,15,Detroit LionsVTennessee Titans,DET,Matt Prater,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7.0
2020,15,Detroit LionsVTennessee Titans,DET,Mohamed Sanu,WR,0,0,0,0,4,0,38,0,0,0,0,0,0,0,0,0,0,0,5.8
2020,15,Detroit LionsVTennessee Titans,DET,Hunter Bryant,TE,0,0,0,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,15,Detroit LionsVTennessee Titans,DET,Quintez Cephus,WR,0,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,4.1
2020,15,Detroit LionsVTennessee Titans,DET,Danny Amendola,WR,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,15,Detroit LionsVTennessee Titans,TEN,Anthony Firkser,TE,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,15,Detroit LionsVTennessee Titans,DET,Jamal Agnew,,0,0,0,7,1,0,13,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,15,Detroit LionsVTennessee Titans,DET,Adrian Peterson,RB,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
2020,15,Detroit LionsVTennessee Titans,DET,Chase Daniel,QB,0,55,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.3
2020,15,Detroit LionsVTennessee Titans,DET,Jesse James,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,15,Detroit LionsVTennessee Titans,TEN,MyCole Pruitt,TE,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,15,Detroit LionsVTennessee Titans,TEN,Jeremy McNichols,RB,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,15,Detroit LionsVTennessee Titans,DET,T.J. Hockenson,TE,0,0,0,0,2,0,18,0,1,0,0,0,0,0,0,0,0,0,0.8
2020,15,Detroit LionsVTennessee Titans,DET,C.J. Moore,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,15,Detroit LionsVTennessee Titans,TEN,Cameron Batson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Detroit LionsVTennessee Titans,TEN,Logan Woodside,QB,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3
