Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Lamar Jackson,QB,3,243,1,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.22
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,Gardner Minshew II,QB,2,226,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.94
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Mark Andrews,TE,0,0,0,0,5,1,66,0,0,0,0,0,0,0,0,0,0,0,15.1
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,J.K. Dobbins,RB,0,0,1,64,1,0,17,0,0,0,0,0,0,0,0,0,0,0,14.6
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Marquise Brown,WR,0,0,0,0,6,0,98,0,0,0,0,0,0,0,0,0,0,0,12.8
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,James Robinson,RB,0,0,0,35,3,1,18,0,0,0,0,0,0,0,0,0,0,0,12.8
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,9.0
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Gus Edwards,RB,0,0,0,42,2,0,36,0,0,0,0,0,0,0,0,0,0,0,8.8
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,Chris Conley,WR,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,7.8
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Dez Bryant,WR,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,7.6
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,DJ Chark,WR,0,0,0,0,4,0,53,0,0,0,0,0,0,0,0,0,0,0,7.3
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,Laviska Shenault Jr.,WR,0,0,0,1,5,0,43,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Miles Boykin,WR,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,Tyler Eifert,TE,0,0,0,0,3,0,51,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,Keelan Cole,WR,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,3.2
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,Dare Ogunbowale,RB,0,0,0,17,1,0,8,0,0,0,0,0,0,0,0,0,0,0,3.0
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Tyler Huntley,QB,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Patrick Ricard,,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,Collin Johnson,WR,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Justice Hill,RB,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,James O'Shaughnessy,TE,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,Devine Ozigbo,RB,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Willie Snead,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,Eric Tomlinson,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Jacksonville JaguarsVBaltimore Ravens,JAX,Nathan Cottrell,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Jacksonville JaguarsVBaltimore Ravens,BAL,James Proche,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
