Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,15,Kansas City ChiefsVNew Orleans Saints,KAN,Patrick Mahomes,QB,3,254,0,37,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25.86
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Drew Brees,QB,3,234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.36
2020,15,Kansas City ChiefsVNew Orleans Saints,KAN,Travis Kelce,TE,0,0,0,0,8,1,68,0,0,0,0,0,0,0,0,0,0,1,18.8
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Alvin Kamara,RB,0,0,0,54,3,1,40,0,0,0,0,0,0,0,0,0,0,0,16.9
2020,15,Kansas City ChiefsVNew Orleans Saints,KAN,Tyreek Hill,WR,0,0,0,1,6,1,53,0,0,0,0,0,0,0,0,0,0,0,14.4
2020,15,Kansas City ChiefsVNew Orleans Saints,KAN,Le'Veon Bell,RB,0,0,1,62,1,0,14,0,0,0,0,0,0,0,0,0,0,0,14.1
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Latavius Murray,RB,0,0,0,3,2,1,26,0,0,0,0,0,0,0,0,0,0,0,9.9
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Lil'Jordan Humphrey,WR,0,0,0,0,2,1,29,0,0,0,0,0,0,0,0,0,0,0,9.9
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Emmanuel Sanders,WR,0,0,0,0,4,0,76,0,0,0,0,0,0,0,0,0,0,0,9.6
2020,15,Kansas City ChiefsVNew Orleans Saints,KAN,Mecole Hardman,WR,0,0,0,-5,3,1,22,0,0,0,0,0,0,0,0,0,0,0,9.2
2020,15,Kansas City ChiefsVNew Orleans Saints,KAN,Clyde Edwards-Helaire,RB,0,0,0,79,1,0,4,0,0,0,0,0,0,0,0,0,0,0,8.8
2020,15,Kansas City ChiefsVNew Orleans Saints,KAN,Sammy Watkins,WR,0,0,0,0,4,0,60,0,0,0,0,0,0,0,0,0,0,0,8.0
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Taysom Hill,QB,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,15,Kansas City ChiefsVNew Orleans Saints,KAN,Harrison Butker,K,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6.0
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Jared Cook,TE,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,3.9
2020,15,Kansas City ChiefsVNew Orleans Saints,KAN,Demarcus Robinson,WR,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Tre'Quan Smith,WR,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,3.0
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Wil Lutz,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Michael Burton,,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,15,Kansas City ChiefsVNew Orleans Saints,KAN,Deon Yelder,TE,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,15,Kansas City ChiefsVNew Orleans Saints,KAN,Darrel Williams,RB,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Tommylee Lewis,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Kansas City ChiefsVNew Orleans Saints,NOR,Juwan Johnson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
