Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,15,Pittsburgh SteelersVCincinnati Bengals,CIN,Giovani Bernard,RB,0,0,1,83,1,1,14,0,0,0,0,0,0,0,0,0,0,0,22.2
2020,15,Pittsburgh SteelersVCincinnati Bengals,CIN,Ryan Finley,QB,1,89,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.26
2020,15,Pittsburgh SteelersVCincinnati Bengals,PIT,Benny Snell Jr.,RB,0,0,1,84,3,0,23,0,0,0,0,0,0,0,0,0,0,0,18.2
2020,15,Pittsburgh SteelersVCincinnati Bengals,PIT,Diontae Johnson,WR,0,0,0,0,8,1,59,0,0,0,0,0,0,0,0,0,0,0,15.9
2020,15,Pittsburgh SteelersVCincinnati Bengals,CIN,Austin Seibert,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,9.0
2020,15,Pittsburgh SteelersVCincinnati Bengals,PIT,Ben Roethlisberger,QB,1,170,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.7
2020,15,Pittsburgh SteelersVCincinnati Bengals,PIT,Chase Claypool,WR,0,0,0,-6,3,0,54,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,15,Pittsburgh SteelersVCincinnati Bengals,CIN,A.J. Green,WR,0,0,0,0,2,0,40,0,0,0,0,0,0,0,0,0,0,0,5.0
2020,15,Pittsburgh SteelersVCincinnati Bengals,PIT,Chris Boswell,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5.0
2020,15,Pittsburgh SteelersVCincinnati Bengals,CIN,Tee Higgins,WR,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,4.6
2020,15,Pittsburgh SteelersVCincinnati Bengals,PIT,Jaylen Samuels,RB,0,0,0,4,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,15,Pittsburgh SteelersVCincinnati Bengals,PIT,Anthony McFarland Jr.,RB,0,0,0,5,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,15,Pittsburgh SteelersVCincinnati Bengals,CIN,Samaje Perine,RB,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,15,Pittsburgh SteelersVCincinnati Bengals,PIT,JuJu Smith-Schuster,WR,0,0,0,0,3,0,15,0,1,0,0,0,0,0,0,0,0,0,1.0
2020,15,Pittsburgh SteelersVCincinnati Bengals,CIN,Drew Sample,TE,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,15,Pittsburgh SteelersVCincinnati Bengals,CIN,Trayveon Williams,RB,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,15,Pittsburgh SteelersVCincinnati Bengals,PIT,Ray-Ray McCloud,WR,0,0,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,15,Pittsburgh SteelersVCincinnati Bengals,PIT,Eric Ebron,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Pittsburgh SteelersVCincinnati Bengals,PIT,James Washington,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Pittsburgh SteelersVCincinnati Bengals,CIN,Alex Erickson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Pittsburgh SteelersVCincinnati Bengals,CIN,Tyler Boyd,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
