Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,15,Seattle SeahawksVWashington Football Team,WAS,J.D. McKissic,WR,0,0,0,51,9,1,56,0,0,0,0,0,0,0,0,0,0,0,21.2
2020,15,Seattle SeahawksVWashington Football Team,WAS,Logan Thomas,,0,0,0,0,13,0,101,0,0,0,0,0,0,0,0,0,0,0,16.6
2020,15,Seattle SeahawksVWashington Football Team,WAS,Dwayne Haskins,QB,1,295,0,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16.6
2020,15,Seattle SeahawksVWashington Football Team,SEA,Carlos Hyde,RB,0,0,1,55,2,0,8,0,0,0,0,0,0,0,0,0,0,0,13.3
2020,15,Seattle SeahawksVWashington Football Team,SEA,Russell Wilson,QB,1,121,0,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.04
2020,15,Seattle SeahawksVWashington Football Team,WAS,Terry McLaurin,WR,0,0,0,0,7,0,77,0,0,0,0,0,0,0,0,0,0,0,11.2
2020,15,Seattle SeahawksVWashington Football Team,SEA,Jason Myers,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,10.0
2020,15,Seattle SeahawksVWashington Football Team,SEA,Jacob Hollister,TE,0,0,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,8.7
2020,15,Seattle SeahawksVWashington Football Team,SEA,Chris Carson,RB,0,0,0,63,2,0,6,0,0,0,0,0,0,0,0,0,0,0,7.9
2020,15,Seattle SeahawksVWashington Football Team,SEA,D.K. Metcalf,WR,0,0,0,0,5,0,43,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,15,Seattle SeahawksVWashington Football Team,WAS,Peyton Barber,RB,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
2020,15,Seattle SeahawksVWashington Football Team,SEA,Tyler Lockett,WR,0,0,0,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,5.4
2020,15,Seattle SeahawksVWashington Football Team,WAS,Cam Sims,WR,0,0,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,5.1
2020,15,Seattle SeahawksVWashington Football Team,WAS,Dustin Hopkins,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
2020,15,Seattle SeahawksVWashington Football Team,SEA,David Moore,WR,0,0,0,5,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,15,Seattle SeahawksVWashington Football Team,WAS,Isaiah Wright,WR,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,15,Seattle SeahawksVWashington Football Team,WAS,Steven Sims,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,15,Seattle SeahawksVWashington Football Team,WAS,Robert Foster,WR,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,15,Seattle SeahawksVWashington Football Team,SEA,Freddie Swain,WR,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,15,Seattle SeahawksVWashington Football Team,SEA,Rashaad Penny,RB,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,15,Seattle SeahawksVWashington Football Team,SEA,D.J. Reed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Seattle SeahawksVWashington Football Team,SEA,Will Dissly,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,15,Seattle SeahawksVWashington Football Team,WAS,Danny Johnson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
