Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,16,Indianapolis ColtsVPittsburgh Steelers,PIT,Ben Roethlisberger,QB,3,341,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.54
2020,16,Indianapolis ColtsVPittsburgh Steelers,PIT,JuJu Smith-Schuster,WR,0,0,0,0,9,1,96,0,0,0,0,0,0,0,0,0,0,0,20.1
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Jonathan Taylor,RB,0,0,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4
2020,16,Indianapolis ColtsVPittsburgh Steelers,PIT,Diontae Johnson,WR,0,0,0,2,8,1,74,0,0,0,0,0,0,0,0,0,0,0,17.6
2020,16,Indianapolis ColtsVPittsburgh Steelers,PIT,James Conner,RB,0,0,1,21,5,0,45,0,0,0,0,0,0,0,0,0,0,0,15.1
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Zach Pascal,WR,0,0,0,0,3,1,64,0,0,0,0,0,0,0,0,0,0,0,13.9
2020,16,Indianapolis ColtsVPittsburgh Steelers,PIT,Eric Ebron,TE,0,0,0,0,5,1,47,0,0,0,0,0,0,0,0,0,0,0,13.2
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Philip Rivers,QB,1,270,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11.8
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Nyheim Hines,RB,0,0,0,44,4,0,20,0,0,0,0,0,0,0,0,0,0,0,8.4
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,T.Y. Hilton,WR,0,0,0,0,3,0,60,0,0,0,0,0,0,0,0,0,0,0,7.5
2020,16,Indianapolis ColtsVPittsburgh Steelers,PIT,Chase Claypool,wr,0,0,0,0,4,0,54,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Jack Doyle,TE,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0,0,0,7.0
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Rodrigo Blankenship,K,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6.0
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Michael Pittman Jr.,WR,0,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,16,Indianapolis ColtsVPittsburgh Steelers,PIT,Matthew Wright,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Trey Burton,TE,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,3.3
2020,16,Indianapolis ColtsVPittsburgh Steelers,PIT,James Washington,WR,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,3.0
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Mo Alie-Cox,te,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,16,Indianapolis ColtsVPittsburgh Steelers,PIT,Vance McDonald,TE,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Ashton Dulin,WR,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Jacoby Brissett,QB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,16,Indianapolis ColtsVPittsburgh Steelers,PIT,Benny Snell Jr.,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Indianapolis ColtsVPittsburgh Steelers,IND,Tremon Smith,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Indianapolis ColtsVPittsburgh Steelers,PIT,Ray-Ray McCloud,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
