Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,Russell Wilson,QB,1,225,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9
2020,16,Los Angeles RamsVSeattle Seahawks,LAR,Matt Gay,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,12.0
2020,16,Los Angeles RamsVSeattle Seahawks,LAR,Jared Goff,QB,0,234,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.66
2020,16,Los Angeles RamsVSeattle Seahawks,LAR,Cooper Kupp,WR,0,0,0,0,8,0,66,0,0,0,0,0,0,0,0,0,0,0,10.6
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,Jason Myers,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,10.0
2020,16,Los Angeles RamsVSeattle Seahawks,LAR,Josh Reynolds,WR,0,0,0,5,6,0,65,0,0,0,0,0,0,0,0,0,0,0,10.0
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,Chris Carson,RB,0,0,0,69,3,0,10,0,0,0,0,0,0,0,0,0,0,0,9.4
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,D.K. Metcalf,WR,0,0,0,0,6,0,59,0,0,0,0,0,0,0,0,0,0,0,8.9
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,Jacob Hollister,TE,0,0,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,8.7
2020,16,Los Angeles RamsVSeattle Seahawks,LAR,Robert Woods,WR,0,0,0,1,4,0,48,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,16,Los Angeles RamsVSeattle Seahawks,LAR,Darrell Henderson,RB,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,Tyler Lockett,WR,0,0,0,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,5.9
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,David Moore,WR,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,5.0
2020,16,Los Angeles RamsVSeattle Seahawks,LAR,Tyler Higbee,TE,0,0,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,16,Los Angeles RamsVSeattle Seahawks,LAR,Malcolm Brown,RB,0,0,0,27,1,0,8,0,0,0,0,0,0,0,0,0,0,0,4.0
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,Will Dissly,TE,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3.2
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,Carlos Hyde,RB,0,0,0,8,1,0,18,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,16,Los Angeles RamsVSeattle Seahawks,LAR,Gerald Everett,TE,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,2.3
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,Greg Olsen,TE,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,Rashaad Penny,RB,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,16,Los Angeles RamsVSeattle Seahawks,LAR,Van Jefferson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Los Angeles RamsVSeattle Seahawks,LAR,Nsimba Webster,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,D.J. Reed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Los Angeles RamsVSeattle Seahawks,SEA,Freddie Swain,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
