Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Myles Gaskin,RB,0,0,0,87,5,2,82,0,0,0,0,0,0,0,0,0,0,0,31.4
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Nelson Agholor,WR,0,0,0,0,5,1,155,0,0,0,0,0,0,0,0,0,0,0,24.0
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Derek Carr,QB,1,336,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.24
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Jason Sanders,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,15.0
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Darren Waller,TE,0,0,0,0,5,0,112,0,0,0,0,0,0,0,0,0,0,0,13.7
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Daniel Carlson,K,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,13.0
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Ryan Fitzpatrick,QB,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Tua Tagovailoa,QB,1,94,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Mike Gesicki,TE,0,0,0,0,4,0,54,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Josh Jacobs,RB,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Jakeem Grant,WR,0,0,0,0,5,0,43,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Hunter Renfrow,WR,0,0,0,0,5,0,34,0,0,0,0,0,0,0,0,0,0,0,5.9
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Isaiah Ford,WR,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,0,5.7
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Mack Hollins,WR,0,0,0,0,2,0,42,0,0,0,0,0,0,0,0,0,0,0,5.2
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Devontae Booker,RB,0,0,0,11,2,0,8,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Jalen Richard,RB,0,0,0,19,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2.8
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Lynn Bowden Jr.,WR,0,0,0,8,2,0,8,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Jason Witten,TE,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Clayton Fejedelem,,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Durham Smythe,TE,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Bryan Edwards,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Adam Shaheen,TE,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,16,Miami DolphinsVLas Vegas Raiders,MIA,Salvon Ahmed,RB,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Henry Ruggs III,WR,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,16,Miami DolphinsVLas Vegas Raiders,LVR,Keisean Nixon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
