Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Alvin Kamara,RB,0,0,6,155,3,0,17,0,0,0,0,0,0,0,0,0,0,0,54.7
2020,16,Minnesota VikingsVNew Orleans Saints,MIN,Kirk Cousins,QB,3,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.64
2020,16,Minnesota VikingsVNew Orleans Saints,MIN,Irv Smith Jr.,TE,0,0,0,0,6,2,53,0,0,0,0,0,0,0,0,0,0,0,20.3
2020,16,Minnesota VikingsVNew Orleans Saints,MIN,Adam Thielen,WR,0,0,0,0,8,1,97,0,0,0,0,0,0,0,0,0,0,0,19.7
2020,16,Minnesota VikingsVNew Orleans Saints,MIN,Dalvin Cook,RB,0,0,1,73,2,0,12,0,0,0,0,0,0,0,0,0,0,0,15.5
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Emmanuel Sanders,WR,0,0,0,12,4,0,83,0,0,0,0,0,0,0,0,0,0,0,11.5
2020,16,Minnesota VikingsVNew Orleans Saints,MIN,Justin Jefferson,WR,0,0,0,0,6,0,85,0,0,0,0,0,0,0,0,0,0,0,11.5
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Latavius Murray,RB,0,0,0,72,3,0,24,0,0,0,0,0,0,0,0,0,0,0,11.1
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Taysom Hill,QB,0,8,1,18,1,0,19,0,0,0,0,0,0,0,0,0,0,0,10.52
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Drew Brees,QB,0,311,0,-3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.14
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Wil Lutz,K,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,10.0
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Jared Cook,TE,0,0,0,0,3,0,82,0,0,0,0,0,0,0,0,0,0,0,9.7
2020,16,Minnesota VikingsVNew Orleans Saints,MIN,Mike Boone,RB,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Adam Trautman,TE,0,0,0,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,16,Minnesota VikingsVNew Orleans Saints,MIN,Tyler Conklin,TE,0,0,0,0,4,0,31,0,0,0,0,0,0,0,0,0,0,0,5.1
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Marquez Callaway,WR,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,4.1
2020,16,Minnesota VikingsVNew Orleans Saints,MIN,Dan Bailey,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Juwan Johnson,WR,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Michael Burton,,0,0,0,10,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,16,Minnesota VikingsVNew Orleans Saints,MIN,Olabisi Johnson,WR,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,16,Minnesota VikingsVNew Orleans Saints,MIN,Ameer Abdullah,RB,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Austin Carr,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Ty Montgomery,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Minnesota VikingsVNew Orleans Saints,NOR,Dwayne Washington,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
