Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,16,New York GiantsVBaltimore Ravens,BAL,Lamar Jackson,QB,2,183,0,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.32
2020,16,New York GiantsVBaltimore Ravens,NYG,Sterling Shepard,WR,0,0,0,0,9,1,77,0,0,0,0,0,0,0,0,0,0,0,18.2
2020,16,New York GiantsVBaltimore Ravens,NYG,Daniel Jones,QB,1,252,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.38
2020,16,New York GiantsVBaltimore Ravens,BAL,J.K. Dobbins,RB,0,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7
2020,16,New York GiantsVBaltimore Ravens,BAL,Gus Edwards,RB,0,0,0,85,2,0,37,0,0,0,0,0,0,0,0,0,0,0,13.2
2020,16,New York GiantsVBaltimore Ravens,BAL,Mark Andrews,TE,0,0,0,0,6,0,76,0,0,0,0,0,0,0,0,0,0,0,10.6
2020,16,New York GiantsVBaltimore Ravens,NYG,Evan Engram,TE,0,0,0,5,7,0,65,0,0,0,0,0,0,0,0,0,0,0,10.5
2020,16,New York GiantsVBaltimore Ravens,BAL,Marquise Brown,WR,0,0,0,0,4,1,25,0,0,0,0,0,0,0,0,0,0,0,10.5
2020,16,New York GiantsVBaltimore Ravens,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,9.0
2020,16,New York GiantsVBaltimore Ravens,NYG,Graham Gano,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,8.0
2020,16,New York GiantsVBaltimore Ravens,BAL,Dez Bryant,WR,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,7.3
2020,16,New York GiantsVBaltimore Ravens,NYG,Wayne Gallman,RB,0,0,0,27,2,0,26,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,16,New York GiantsVBaltimore Ravens,NYG,Dante Pettis,WR,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,16,New York GiantsVBaltimore Ravens,NYG,Darius Slayton,WR,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,16,New York GiantsVBaltimore Ravens,BAL,Willie Snead,WR,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,16,New York GiantsVBaltimore Ravens,NYG,C.J. Board,WR,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,16,New York GiantsVBaltimore Ravens,BAL,Miles Boykin,WR,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,16,New York GiantsVBaltimore Ravens,NYG,Alfred Morris,RB,0,0,0,4,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,16,New York GiantsVBaltimore Ravens,NYG,Dion Lewis,RB,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,16,New York GiantsVBaltimore Ravens,BAL,Devin Duvernay,WR,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,16,New York GiantsVBaltimore Ravens,NYG,Jabrill Peppers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,New York GiantsVBaltimore Ravens,NYG,Austin Mack,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
