Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,16,Philadelphia EaglesVDallas Cowboys,DAL,Andy Dalton,QB,3,377,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27.58
2020,16,Philadelphia EaglesVDallas Cowboys,DAL,Michael Gallup,WR,0,0,0,0,6,2,121,0,0,0,0,0,0,0,0,0,0,0,27.1
2020,16,Philadelphia EaglesVDallas Cowboys,DAL,CeeDee Lamb,WR,0,0,1,19,3,1,65,0,0,0,0,0,0,0,0,0,0,0,21.9
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Jalen Hurts,QB,1,342,0,69,0,0,0,2,1,0,0,0,0,0,0,0,0,0,20.58
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Miles Sanders,RB,0,0,1,57,4,0,27,0,0,0,0,0,0,0,0,0,0,0,16.4
2020,16,Philadelphia EaglesVDallas Cowboys,DAL,Ezekiel Elliott,RB,0,0,0,105,4,0,34,0,0,0,0,0,0,0,0,0,0,0,15.9
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,DeSean Jackson,WR,0,0,0,0,1,1,81,0,0,0,0,0,0,0,0,0,0,0,14.6
2020,16,Philadelphia EaglesVDallas Cowboys,DAL,Amari Cooper,WR,0,0,0,0,4,0,121,0,0,0,0,0,0,0,0,0,0,0,14.1
2020,16,Philadelphia EaglesVDallas Cowboys,DAL,Greg Zuerlein,K,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,13.0
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Quez Watkins,WR,0,0,0,0,2,0,57,0,0,0,0,0,0,0,0,0,0,0,6.7
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Dallas Goedert,TE,0,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Jake Elliott,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5.0
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Zach Ertz,TE,0,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Jalen Reagor,WR,0,0,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,4.5
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Travis Fulgham,WR,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Greg Ward,WR,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,16,Philadelphia EaglesVDallas Cowboys,DAL,Dalton Schultz,TE,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Alshon Jeffery,WR,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,16,Philadelphia EaglesVDallas Cowboys,DAL,Tony Pollard,RB,0,0,0,12,1,0,8,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Boston Scott,RB,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,16,Philadelphia EaglesVDallas Cowboys,DAL,Blake Bell,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,16,Philadelphia EaglesVDallas Cowboys,PHI,Jordan Howard,RB,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
