Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,16,San Francisco 49ersVArizona Cardinals,SFO,Jeff Wilson,RB,0,0,0,183,1,1,21,0,0,0,0,0,0,0,0,0,0,0,26.9
2020,16,San Francisco 49ersVArizona Cardinals,SFO,C.J. Beathard,QB,3,182,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.08
2020,16,San Francisco 49ersVArizona Cardinals,ARI,Kyler Murray,QB,0,247,0,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.38
2020,16,San Francisco 49ersVArizona Cardinals,SFO,Kyle Juszczyk,FB,0,0,0,3,2,2,10,0,0,0,0,0,0,0,0,0,0,0,14.3
2020,16,San Francisco 49ersVArizona Cardinals,ARI,Kenyan Drake,RB,0,0,1,45,2,0,5,0,0,0,0,0,0,0,0,0,0,0,12.0
2020,16,San Francisco 49ersVArizona Cardinals,SFO,George Kittle,TE,0,0,0,0,4,0,92,0,0,0,0,0,0,0,0,0,0,0,11.2
2020,16,San Francisco 49ersVArizona Cardinals,ARI,Christian Kirk,WR,0,0,0,0,7,0,76,0,0,0,0,0,0,0,0,0,0,0,11.1
2020,16,San Francisco 49ersVArizona Cardinals,ARI,DeAndre Hopkins,WR,0,0,0,0,8,0,48,0,0,0,0,0,0,0,0,0,0,0,8.8
2020,16,San Francisco 49ersVArizona Cardinals,ARI,KeeSean Johnson,WR,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,16,San Francisco 49ersVArizona Cardinals,ARI,Larry Fitzgerald,WR,0,0,0,0,6,0,28,0,0,0,0,0,0,0,0,0,0,0,5.8
2020,16,San Francisco 49ersVArizona Cardinals,SFO,Jerick McKinnon,RB,0,0,0,4,3,0,28,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,16,San Francisco 49ersVArizona Cardinals,SFO,Brandon Aiyuk,WR,0,0,0,16,1,0,15,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,16,San Francisco 49ersVArizona Cardinals,SFO,Kendrick Bourne,wr,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,16,San Francisco 49ersVArizona Cardinals,ARI,Dan Arnold,te,0,0,0,0,3,0,25,0,1,0,0,0,0,0,0,0,0,0,2.0
2020,16,San Francisco 49ersVArizona Cardinals,SFO,Robbie Gould\g,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2020,16,San Francisco 49ersVArizona Cardinals,ARI,Chase Edmonds,RB,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,16,San Francisco 49ersVArizona Cardinals,ARI,Darrell Daniels,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,16,San Francisco 49ersVArizona Cardinals,SFO,Tevin Coleman,RB,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,16,San Francisco 49ersVArizona Cardinals,SFO,Richie James,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,San Francisco 49ersVArizona Cardinals,SFO,Jordan Reed,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,San Francisco 49ersVArizona Cardinals,ARI,D.J. Foster,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,San Francisco 49ersVArizona Cardinals,ARI,Seth Devalve,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,San Francisco 49ersVArizona Cardinals,SFO,River Cracraft,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,San Francisco 49ersVArizona Cardinals,ARI,Mike Nugent\n,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
