Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Mike Evans,WR,0,0,0,0,10,2,181,0,0,0,0,0,0,0,0,0,0,0,35.1
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Tom Brady,QB,4,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.92
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Rob Gronkowski,TE,0,0,0,0,2,2,58,0,0,0,0,0,0,0,0,0,0,0,18.8
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Chris Godwin,WR,0,0,0,0,5,1,84,0,0,0,0,0,0,0,0,0,0,0,16.9
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Blaine Gabbert,QB,2,143,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.22
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Leonard Fournette,RB,0,0,1,34,3,0,32,0,0,0,0,0,0,0,0,0,0,0,14.1
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Antonio Brown,WR,0,0,0,0,4,1,35,0,0,0,0,0,0,0,0,0,0,0,11.5
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Ke'Shawn Vaughn,RB,0,0,0,62,1,0,7,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,D'Andre Swift,RB,0,0,0,45,4,0,25,0,1,0,0,0,0,0,0,0,0,0,7.0
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,Danny Amendola,WR,0,0,0,0,5,0,37,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,Jamal Agnew,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.0
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Ryan Succop,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5.0
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,T.J. Hockenson,TE,0,0,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Tyler Johnson,WR,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,4.0
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Cameron Brate,TE,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,Chase Daniel,QB,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,Marvin Jones,WR,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,Mohamed Sanu,WR,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,3.2
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,David Blough,QB,0,49,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.76
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,Kerryon Johnson,RB,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Tanner Hudson,TE,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,Quintez Cephus,WR,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Scott Miller,WR,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,Adrian Peterson,RB,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,LeSean McCoy,RB,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,Matt Prater,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,Matthew Stafford,QB,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68
2020,16,Tampa Bay BuccaneersVDetroit Lions,DET,Jesse James,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Tampa Bay BuccaneersVDetroit Lions,TAM,Kenjon Barner,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
