Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,16,Tennessee TitansVGreen Bay Packers,GNB,Davante Adams,WR,0,0,0,0,11,3,142,0,0,0,0,0,0,0,0,0,0,0,37.7
2020,16,Tennessee TitansVGreen Bay Packers,GNB,Aaron Rodgers,QB,4,231,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.14
2020,16,Tennessee TitansVGreen Bay Packers,GNB,AJ Dillon,RB,0,0,2,124,1,0,5,0,0,0,0,0,0,0,0,0,0,0,25.4
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Ryan Tannehill,QB,1,121,1,55,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18.34
2020,16,Tennessee TitansVGreen Bay Packers,GNB,Aaron Jones,RB,0,0,0,94,2,0,14,0,0,0,0,0,0,0,0,0,0,0,11.8
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Jonnu Smith,TE,0,0,0,0,3,1,30,0,0,0,0,0,0,0,0,0,0,0,10.5
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Derrick Henry,RB,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8
2020,16,Tennessee TitansVGreen Bay Packers,GNB,Equanimeous St. Brown,WR,0,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,16,Tennessee TitansVGreen Bay Packers,TEN,A.J. Brown,WR,0,0,0,0,4,0,43,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,16,Tennessee TitansVGreen Bay Packers,GNB,Mason Crosby,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Nick Westbrook-Ikhine,WR,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,16,Tennessee TitansVGreen Bay Packers,GNB,Allen Lazard,WR,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,16,Tennessee TitansVGreen Bay Packers,GNB,Robert Tonyan,TE,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Stephen Gostkowski,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2020,16,Tennessee TitansVGreen Bay Packers,GNB,Dominique Dafney,TE,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Cameron Batson,WR,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Anthony Firkser,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,16,Tennessee TitansVGreen Bay Packers,GNB,Tavon Austin,WR,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Jeremy McNichols,RB,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Darrynton Evans,RB,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Corey Davis,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Kalif Raymond,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Tennessee TitansVGreen Bay Packers,TEN,Logan Woodside,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Tennessee TitansVGreen Bay Packers,GNB,Malik Taylor,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,16,Tennessee TitansVGreen Bay Packers,GNB,Tim Boyle,QB,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3
