Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,17,Las Vegas RaidersVDenver Broncos,DEN,Jerry Jeudy,WR,0,0,0,0,5,1,140,0,0,0,0,0,0,0,0,0,0,1,24.5
2020,17,Las Vegas RaidersVDenver Broncos,DEN,Drew Lock,QB,2,339,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.26
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Derek Carr,QB,2,371,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,22.94
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Darren Waller,TE,0,0,0,0,9,1,117,0,1,0,0,0,0,0,0,0,0,1,22.2
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Josh Jacobs,RB,0,0,2,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9
2020,17,Las Vegas RaidersVDenver Broncos,DEN,Melvin Gordon,RB,0,0,1,93,4,0,17,0,0,0,0,0,0,0,0,0,0,0,19.0
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Bryan Edwards,WR,0,0,0,0,2,1,51,0,0,0,0,0,0,0,0,0,0,0,12.1
2020,17,Las Vegas RaidersVDenver Broncos,DEN,Brandon McManus,K,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,11.0
2020,17,Las Vegas RaidersVDenver Broncos,DEN,Troy Fumagalli,TE,0,0,0,0,2,1,15,0,0,0,0,0,0,0,0,0,0,0,8.5
2020,17,Las Vegas RaidersVDenver Broncos,DEN,Noah Fant,TE,0,0,0,0,4,0,48,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,17,Las Vegas RaidersVDenver Broncos,DEN,Tyrie Cleveland,WR,0,0,0,0,4,0,45,0,0,0,0,0,0,0,0,0,0,0,6.5
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Nelson Agholor,WR,0,0,0,0,1,0,57,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Daniel Carlson,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6.0
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Theo Riddick,RB,0,0,0,0,4,0,40,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,17,Las Vegas RaidersVDenver Broncos,DEN,Tim Patrick,WR,0,0,0,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,5.6
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Zay Jones,WR,0,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,4.2
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Hunter Renfrow,WR,0,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,3.9
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Henry Ruggs III,WR,0,0,0,0,3,0,38,0,1,0,0,0,0,0,0,0,0,0,3.3
2020,17,Las Vegas RaidersVDenver Broncos,DEN,DaeSean Hamilton,WR,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,2.8
2020,17,Las Vegas RaidersVDenver Broncos,DEN,Royce Freeman,RB,0,0,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Devontae Booker,RB,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,17,Las Vegas RaidersVDenver Broncos,DEN,Diontae Spencer,WR,0,0,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,17,Las Vegas RaidersVDenver Broncos,LVR,Foster Moreau,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,17,Las Vegas RaidersVDenver Broncos,DEN,LeVante Bellamy,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
