Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Justin Herbert,QB,3,302,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.98
2020,17,Los Angeles ChargersVKansas City Chiefs,KAN,Darwin Thompson,RB,0,0,1,45,7,1,65,0,0,0,0,0,0,0,0,0,0,0,26.5
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Mike Williams,WR,0,0,0,0,6,1,108,0,0,0,0,0,0,0,0,0,0,0,19.8
2020,17,Los Angeles ChargersVKansas City Chiefs,KAN,Chad Henne,QB,2,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Austin Ekeler,RB,0,0,0,18,6,1,33,0,0,0,0,0,0,0,0,0,0,0,14.1
2020,17,Los Angeles ChargersVKansas City Chiefs,KAN,Byron Pringle,WR,0,0,0,0,4,1,52,0,0,0,0,0,0,0,0,0,0,0,13.2
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Justin Jackson,RB,0,0,0,72,1,0,32,0,0,0,0,0,0,0,0,0,0,1,12.9
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Donald Parham,te,0,0,0,0,3,1,37,0,0,0,0,0,0,0,0,0,0,0,11.2
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Kalen Ballage,RB,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6
2020,17,Los Angeles ChargersVKansas City Chiefs,KAN,Demarcus Robinson,WR,0,0,0,0,6,0,58,0,0,0,0,0,0,0,0,0,0,0,8.8
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Stephen Anderson,TE,0,0,0,0,3,0,52,0,0,0,0,0,0,0,0,0,0,0,6.7
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Tyron Johnson,WR,0,0,0,0,2,0,35,0,0,0,0,0,0,0,0,0,0,0,4.5
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Michael Badgley,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2020,17,Los Angeles ChargersVKansas City Chiefs,KAN,Harrison Butker,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2020,17,Los Angeles ChargersVKansas City Chiefs,KAN,Deon Yelder,TE,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,17,Los Angeles ChargersVKansas City Chiefs,KAN,Mecole Hardman,WR,0,0,0,0,2,0,25,0,1,0,0,0,0,0,0,0,0,0,1.5
2020,17,Los Angeles ChargersVKansas City Chiefs,KAN,Gehrig Dieter,WR,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Gabe Nabers,fb,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,17,Los Angeles ChargersVKansas City Chiefs,KAN,Darrel Williams,RB,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,17,Los Angeles ChargersVKansas City Chiefs,KAN,Anthony Sherman,RB,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Jalen Guyton,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,Nasir Adderley,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,17,Los Angeles ChargersVKansas City Chiefs,LAC,K.J. Hill,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,17,Los Angeles ChargersVKansas City Chiefs,KAN,Rashad Fenton,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
