Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Drew Brees,QB,3,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.04
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Emmanuel Sanders,WR,0,0,0,0,9,1,63,0,0,0,0,0,0,0,0,0,0,0,16.8
2020,17,New Orleans SaintsVCarolina Panthers,CAR,Curtis Samuel,WR,0,0,0,3,7,0,118,0,0,0,0,0,0,0,0,0,0,0,15.6
2020,17,New Orleans SaintsVCarolina Panthers,CAR,D.J. Moore,WR,0,0,0,0,5,0,101,0,0,0,0,0,0,0,0,0,0,0,12.6
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Jared Cook,TE,0,0,0,0,4,1,43,0,0,0,0,0,0,0,0,0,0,0,12.3
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Ty Montgomery,,0,0,0,105,1,0,2,0,0,0,0,0,0,0,0,0,0,0,11.2
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Taysom Hill,QB,0,0,1,41,1,0,5,0,0,0,0,0,0,0,0,0,0,0,11.1
2020,17,New Orleans SaintsVCarolina Panthers,CAR,Rodney Smith,RB,0,0,1,40,1,0,4,0,0,0,0,0,0,0,0,0,0,0,10.9
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Wil Lutz,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,10.0
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Austin Carr,WR,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,7.6
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Marquez Callaway,WR,0,0,0,0,3,0,51,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,17,New Orleans SaintsVCarolina Panthers,CAR,Teddy Bridgewater,QB,0,176,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5.74
2020,17,New Orleans SaintsVCarolina Panthers,CAR,Robby Anderson,WR,0,0,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,17,New Orleans SaintsVCarolina Panthers,CAR,Tommy Stevens,QB,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Lil'Jordan Humphrey,WR,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,17,New Orleans SaintsVCarolina Panthers,CAR,Pharoh Cooper,WR,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Tony Jones,RB,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Adam Trautman,TE,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,17,New Orleans SaintsVCarolina Panthers,CAR,Joey Slye,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Juwan Johnson,WR,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,17,New Orleans SaintsVCarolina Panthers,CAR,Phillip Walker,QB,0,95,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.8
2020,17,New Orleans SaintsVCarolina Panthers,CAR,Ian Thomas,TE,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,17,New Orleans SaintsVCarolina Panthers,CAR,Alex Armah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,17,New Orleans SaintsVCarolina Panthers,CAR,Trenton Cannon,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Jameis Winston,QB,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
2020,17,New Orleans SaintsVCarolina Panthers,NOR,Tommylee Lewis,WR,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2
