Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,Tyler Lockett,WR,0,0,0,0,12,2,90,0,0,0,0,0,0,0,0,0,0,0,27.0
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,Jeff Wilson,RB,0,0,1,76,3,1,12,0,0,0,0,0,0,0,0,0,0,0,22.3
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,Russell Wilson,QB,2,181,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,C.J. Beathard,QB,1,273,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.92
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,Tristan Vizcaino,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,12.0
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,George Kittle,TE,0,0,0,0,7,0,68,0,0,0,0,0,0,0,0,0,0,0,10.3
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,Kendrick Bourne,WR,0,0,0,0,5,0,76,0,0,0,0,0,0,0,0,0,0,0,10.1
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,Chris Carson,RB,0,0,0,44,2,0,39,0,0,0,0,0,0,0,0,0,0,0,9.3
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,Alex Collins,RB,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,Richie James,WR,0,0,0,0,3,0,66,0,0,0,0,0,0,0,0,0,0,0,8.1
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,Jason Myers,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,8.0
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,D.K. Metcalf,WR,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,Ross Dwelley,TE,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,River Cracraft,WR,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,Will Dissly,TE,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,Rashaad Penny,RB,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,Jacob Hollister,TE,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,Jerick McKinnon,RB,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,David Moore,WR,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,Kyle Juszczyk,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,Charlie Woerner,TE,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,Freddie Swain,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,17,Seattle SeahawksVSan Francisco 49ers,SEA,D.J. Reed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,17,Seattle SeahawksVSan Francisco 49ers,SFO,Austin Walter,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
