Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,17,Tennessee TitansVHouston Texans,TEN,Derrick Henry,RB,0,0,2,250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35.0
2020,17,Tennessee TitansVHouston Texans,HOU,Brandin Cooks,WR,0,0,0,0,11,2,166,0,0,0,0,0,0,0,0,0,0,0,34.1
2020,17,Tennessee TitansVHouston Texans,TEN,Ryan Tannehill,QB,1,216,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.44
2020,17,Tennessee TitansVHouston Texans,HOU,Deshaun Watson,QB,3,365,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.8
2020,17,Tennessee TitansVHouston Texans,TEN,A.J. Brown,WR,0,0,0,0,10,1,151,0,0,0,0,0,0,0,0,0,0,0,26.1
2020,17,Tennessee TitansVHouston Texans,HOU,David Johnson,RB,0,0,1,84,3,0,36,0,0,0,0,0,0,0,0,0,0,0,19.5
2020,17,Tennessee TitansVHouston Texans,HOU,Ka'imi Fairbairn,K,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,17.0
2020,17,Tennessee TitansVHouston Texans,HOU,Pharaoh Brown,TE,0,0,0,0,5,1,48,0,0,0,0,0,0,0,0,0,0,0,13.3
2020,17,Tennessee TitansVHouston Texans,HOU,Keke Coutee,WR,0,0,0,0,6,0,90,0,0,0,0,0,0,0,0,0,0,0,12.0
2020,17,Tennessee TitansVHouston Texans,TEN,Sam Sloman,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,12.0
2020,17,Tennessee TitansVHouston Texans,TEN,Corey Davis,WR,0,0,0,0,5,0,39,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,17,Tennessee TitansVHouston Texans,TEN,Anthony Firkser,TE,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,2.8
2020,17,Tennessee TitansVHouston Texans,HOU,Chad Hansen,WR,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,17,Tennessee TitansVHouston Texans,HOU,Steven Mitchell,WR,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,17,Tennessee TitansVHouston Texans,HOU,Jordan Akins,TE,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,17,Tennessee TitansVHouston Texans,TEN,Jonnu Smith,TE,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,17,Tennessee TitansVHouston Texans,HOU,A.J. McCarron,QB,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,17,Tennessee TitansVHouston Texans,TEN,Nick Westbrook-Ikhine,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,17,Tennessee TitansVHouston Texans,TEN,Darrynton Evans,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,17,Tennessee TitansVHouston Texans,HOU,Dontrell Hilliard,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,17,Tennessee TitansVHouston Texans,HOU,Jonathan Owens,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
