Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,1,Arizona CardinalsVSan Francisco 49ers,ARI,Kyler Murray,QB,1,230,1,91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27.3
2020,1,Arizona CardinalsVSan Francisco 49ers,SFO,Raheem Mostert,RB,0,0,0,56,4,1,95,0,0,0,0,0,0,0,0,0,0,0,23.1
2020,1,Arizona CardinalsVSan Francisco 49ers,ARI,DeAndre Hopkins,WR,0,0,0,0,14,0,151,0,0,0,0,0,0,0,0,0,0,0,22.1
2020,1,Arizona CardinalsVSan Francisco 49ers,SFO,Jimmy Garoppolo,QB,2,259,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.26
2020,1,Arizona CardinalsVSan Francisco 49ers,ARI,Kenyan Drake,RB,0,0,1,60,2,0,5,0,0,0,0,0,0,0,0,0,0,0,13.5
2020,1,Arizona CardinalsVSan Francisco 49ers,ARI,Chase Edmonds,RB,0,0,0,26,3,1,19,0,0,0,0,0,0,0,0,0,0,0,12.0
2020,1,Arizona CardinalsVSan Francisco 49ers,SFO,Jerick McKinnon,RB,0,0,0,24,3,1,20,0,0,0,0,0,0,0,0,0,0,0,11.9
2020,1,Arizona CardinalsVSan Francisco 49ers,ARI,Zane Gonzalez,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,8.0
2020,1,Arizona CardinalsVSan Francisco 49ers,SFO,George Kittle,TE,0,0,0,9,4,0,44,0,0,0,0,0,0,0,0,0,0,0,7.3
2020,1,Arizona CardinalsVSan Francisco 49ers,ARI,Larry Fitzgerald,WR,0,0,0,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,5.4
2020,1,Arizona CardinalsVSan Francisco 49ers,SFO,Kyle Juszczyk,,0,0,0,7,1,0,41,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,1,Arizona CardinalsVSan Francisco 49ers,SFO,Kendrick Bourne,WR,0,0,0,0,2,0,34,0,0,0,0,0,0,0,0,0,0,0,4.4
2020,1,Arizona CardinalsVSan Francisco 49ers,ARI,Dan Arnold,WR,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,1,Arizona CardinalsVSan Francisco 49ers,SFO,Tevin Coleman,RB,0,0,0,18,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,1,Arizona CardinalsVSan Francisco 49ers,SFO,Jordan Reed,TE,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,1,Arizona CardinalsVSan Francisco 49ers,SFO,Robbie Gould,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2020,1,Arizona CardinalsVSan Francisco 49ers,SFO,Trent Taylor,WR,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,1,Arizona CardinalsVSan Francisco 49ers,ARI,Christian Kirk,WR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2020,1,Arizona CardinalsVSan Francisco 49ers,ARI,Chris Streveler,QB,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,1,Arizona CardinalsVSan Francisco 49ers,ARI,Maxx Williams,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,1,Arizona CardinalsVSan Francisco 49ers,SFO,Dante Pettis,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
