Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Lamar Jackson,QB,3,275,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Mark Andrews,TE,0,0,0,0,5,2,58,0,0,0,0,0,0,0,0,0,0,0,20.3
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Willie Snead,WR,0,0,0,0,4,1,64,0,0,0,0,0,0,0,0,0,0,0,14.4
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,J.K. Dobbins,RB,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Marquise Brown,WR,0,0,0,0,5,0,101,0,0,0,0,0,0,0,0,0,0,0,12.6
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,David Njoku,TE,0,0,0,0,3,1,50,0,0,0,0,0,0,0,0,0,0,0,12.5
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Baker Mayfield,QB,1,189,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.86
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Kareem Hunt,RB,0,0,0,72,4,0,9,0,0,0,0,0,0,0,0,0,0,0,10.1
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,9.0
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Jarvis Landry,WR,0,0,0,0,5,0,61,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Miles Boykin,WR,0,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,5.2
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Nick Chubb,RB,0,0,0,60,1,0,6,0,1,0,0,0,0,0,0,0,0,0,5.1
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Odell Beckham Jr.,WR,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Mark Ingram,RB,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Austin Hooper,TE,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Devin Duvernay,WR,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,KhaDarel Hodge,WR,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Gus Edwards,RB,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Rashard Higgins,WR,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Nick Boyle,TE,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Harrison Bryant,TE,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,D'Ernest Johnson,RB,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Robert Griffin III,QB,0,9,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Stephen Carlson,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Jojo Natson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,James Proche,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Austin Seibert,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,1,Cleveland BrownsVBaltimore Ravens,BAL,Patrick Ricard,,0,0,0,-1,1,0,9,0,1,0,0,0,0,0,0,0,0,0,-0.7
2020,1,Cleveland BrownsVBaltimore Ravens,CLE,Jamie Gillan,,0,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2.2
