Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Darius Slayton,WR,0,0,0,0,6,2,102,0,0,0,0,0,0,0,0,0,0,0,25.2
2020,1,Pittsburgh SteelersVNew York Giants,PIT,Ben Roethlisberger,QB,3,229,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.06
2020,1,Pittsburgh SteelersVNew York Giants,PIT,JuJu Smith-Schuster,WR,0,0,0,0,6,2,69,0,0,0,0,0,0,0,0,0,0,0,21.9
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Daniel Jones,QB,2,279,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19.36
2020,1,Pittsburgh SteelersVNew York Giants,PIT,Benny Snell Jr.,RB,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3
2020,1,Pittsburgh SteelersVNew York Giants,PIT,James Washington,WR,0,0,0,0,2,1,34,0,0,0,0,0,0,0,0,0,0,0,10.4
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Saquon Barkley,RB,0,0,0,6,6,0,60,0,0,0,0,0,0,0,0,0,0,0,9.6
2020,1,Pittsburgh SteelersVNew York Giants,PIT,Chris Boswell,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,9.0
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Sterling Shepard,WR,0,0,0,0,6,0,47,0,0,0,0,0,0,0,0,0,0,0,7.7
2020,1,Pittsburgh SteelersVNew York Giants,PIT,Diontae Johnson,WR,0,0,0,0,6,0,57,0,1,0,0,0,0,0,0,0,0,0,6.7
2020,1,Pittsburgh SteelersVNew York Giants,PIT,Chase Claypool,WR,0,0,0,8,2,0,39,0,0,0,0,0,0,0,0,0,0,0,5.7
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Graham Gano,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.0
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Kaden Smith,TE,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,1,Pittsburgh SteelersVNew York Giants,NYG,C.J. Board,WR,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,1,Pittsburgh SteelersVNew York Giants,PIT,James Conner,RB,0,0,0,9,2,0,8,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,1,Pittsburgh SteelersVNew York Giants,PIT,Eric Ebron,TE,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,2.3
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Wayne Gallman,RB,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Evan Engram,TE,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Levine Toilolo,TE,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,1,Pittsburgh SteelersVNew York Giants,PIT,Vance McDonald,TE,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,1,Pittsburgh SteelersVNew York Giants,PIT,Jaylen Samuels,RB,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Dion Lewis,RB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Damion Ratley,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,1,Pittsburgh SteelersVNew York Giants,PIT,Ray-Ray McCloud,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,1,Pittsburgh SteelersVNew York Giants,NYG,Jabrill Peppers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
