Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,1,Tennessee TitansVDenver Broncos,TEN,Ryan Tannehill,QB,2,249,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36
2020,1,Tennessee TitansVDenver Broncos,DEN,Noah Fant,TE,0,0,0,0,5,1,81,0,0,0,0,0,0,0,0,0,0,0,16.6
2020,1,Tennessee TitansVDenver Broncos,TEN,Derrick Henry,RB,0,0,0,116,3,0,15,0,0,0,0,0,0,0,0,0,0,0,14.6
2020,1,Tennessee TitansVDenver Broncos,DEN,Melvin Gordon,RB,0,0,1,78,3,0,8,0,1,0,0,0,0,0,0,0,0,0,14.1
2020,1,Tennessee TitansVDenver Broncos,TEN,Corey Davis,WR,0,0,0,0,7,0,101,0,0,0,0,0,0,0,0,0,0,0,13.6
2020,1,Tennessee TitansVDenver Broncos,DEN,Drew Lock,QB,1,216,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14
2020,1,Tennessee TitansVDenver Broncos,TEN,Jonnu Smith,TE,0,0,0,0,4,1,36,0,0,0,0,0,0,0,0,0,0,0,11.6
2020,1,Tennessee TitansVDenver Broncos,TEN,Adam Humphries,WR,0,0,0,0,6,0,47,0,0,0,0,0,0,0,0,0,0,0,7.7
2020,1,Tennessee TitansVDenver Broncos,DEN,Jerry Jeudy,WR,0,0,0,0,4,0,56,0,0,0,0,0,0,0,0,0,0,0,7.6
2020,1,Tennessee TitansVDenver Broncos,TEN,MyCole Pruitt,TE,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,1,Tennessee TitansVDenver Broncos,TEN,A.J. Brown,WR,0,0,0,0,5,0,39,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,1,Tennessee TitansVDenver Broncos,DEN,Tim Patrick,WR,0,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,1,Tennessee TitansVDenver Broncos,DEN,Phillip Lindsay,RB,0,0,0,24,1,0,11,0,0,0,0,0,0,0,0,0,0,0,4.0
2020,1,Tennessee TitansVDenver Broncos,TEN,Stephen Gostkowski,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.0
2020,1,Tennessee TitansVDenver Broncos,DEN,DaeSean Hamilton,WR,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,2.3
2020,1,Tennessee TitansVDenver Broncos,DEN,Brandon McManus,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2020,1,Tennessee TitansVDenver Broncos,DEN,Royce Freeman,RB,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,1,Tennessee TitansVDenver Broncos,TEN,Anthony Firkser,TE,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,1,Tennessee TitansVDenver Broncos,DEN,Tyrie Cleveland,WR,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,1,Tennessee TitansVDenver Broncos,TEN,Khari Blasingame,FB,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,1,Tennessee TitansVDenver Broncos,DEN,Jake Butt,TE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2020,1,Tennessee TitansVDenver Broncos,TEN,Jeremy McNichols,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,1,Tennessee TitansVDenver Broncos,TEN,Kalif Raymond,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,1,Tennessee TitansVDenver Broncos,DEN,Diontae Spencer,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,1,Tennessee TitansVDenver Broncos,DEN,Nick Vannett,TE,0,0,0,0,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,-0.1
