Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,2,Baltimore RavensVHouston Texans,BAL,Lamar Jackson,QB,1,204,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56
2020,2,Baltimore RavensVHouston Texans,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,16.0
2020,2,Baltimore RavensVHouston Texans,HOU,Deshaun Watson,QB,1,275,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.7
2020,2,Baltimore RavensVHouston Texans,BAL,Mark Ingram,RB,0,0,1,55,2,0,22,0,0,0,0,0,0,0,0,0,0,0,14.7
2020,2,Baltimore RavensVHouston Texans,HOU,Brandin Cooks,WR,0,0,0,0,5,0,95,0,0,0,0,0,0,0,0,0,0,0,12.0
2020,2,Baltimore RavensVHouston Texans,HOU,Ka'imi Fairbairn,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,12.0
2020,2,Baltimore RavensVHouston Texans,HOU,Darren Fells,TE,0,0,0,0,2,1,23,0,0,0,0,0,0,0,0,0,0,0,9.3
2020,2,Baltimore RavensVHouston Texans,HOU,Jordan Akins,te,0,0,0,0,7,0,55,0,0,0,0,0,0,0,0,0,0,0,9.0
2020,2,Baltimore RavensVHouston Texans,HOU,Randall Cobb,WR,0,0,0,0,5,0,59,0,0,0,0,0,0,0,0,0,0,0,8.4
2020,2,Baltimore RavensVHouston Texans,BAL,Gus Edwards,rb,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3
2020,2,Baltimore RavensVHouston Texans,BAL,Marquise Brown,WR,0,0,0,0,5,0,42,0,0,0,0,0,0,0,0,0,0,0,6.7
2020,2,Baltimore RavensVHouston Texans,BAL,J.K. Dobbins,RB,0,0,0,48,1,0,13,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,2,Baltimore RavensVHouston Texans,BAL,Patrick Ricard,FB,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,2,Baltimore RavensVHouston Texans,HOU,David Johnson,RB,0,0,0,34,2,0,16,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,2,Baltimore RavensVHouston Texans,BAL,Miles Boykin,WR,0,0,0,0,4,0,38,0,0,0,0,0,0,0,0,0,0,0,5.8
2020,2,Baltimore RavensVHouston Texans,BAL,Willie Snead,WR,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,3.9
2020,2,Baltimore RavensVHouston Texans,BAL,Mark Andrews,TE,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,2,Baltimore RavensVHouston Texans,HOU,Kenny Stills,WR,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,2,Baltimore RavensVHouston Texans,BAL,Devin Duvernay,WR,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,2,Baltimore RavensVHouston Texans,BAL,Nick Boyle,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,2,Baltimore RavensVHouston Texans,HOU,Keke Coutee,WR,0,0,0,0,2,0,11,0,1,0,0,0,0,0,0,0,0,0,0.1
2020,2,Baltimore RavensVHouston Texans,HOU,Will Fuller,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Baltimore RavensVHouston Texans,BAL,James Proche,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Baltimore RavensVHouston Texans,HOU,DeAndre Carter,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
