Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,2,Buffalo BillsVMiami Dolphins,BUF,Josh Allen,QB,4,415,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5
2020,2,Buffalo BillsVMiami Dolphins,BUF,Stefon Diggs,WR,0,0,0,0,8,1,153,0,0,0,0,0,0,0,0,0,0,0,25.3
2020,2,Buffalo BillsVMiami Dolphins,MIA,Ryan Fitzpatrick,QB,2,328,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.32
2020,2,Buffalo BillsVMiami Dolphins,MIA,Mike Gesicki,TE,0,0,0,0,8,1,130,0,0,0,0,0,0,0,0,0,0,0,23.0
2020,2,Buffalo BillsVMiami Dolphins,BUF,John Brown,WR,0,0,0,0,4,1,82,0,0,0,0,0,0,0,0,0,0,0,16.2
2020,2,Buffalo BillsVMiami Dolphins,MIA,DeVante Parker,WR,0,0,0,0,5,1,53,0,0,0,0,0,0,0,0,0,0,0,13.8
2020,2,Buffalo BillsVMiami Dolphins,MIA,Myles Gaskin,RB,0,0,0,46,6,0,36,0,0,0,0,0,0,0,0,0,0,0,11.2
2020,2,Buffalo BillsVMiami Dolphins,MIA,Isaiah Ford,WR,0,0,0,0,7,0,76,0,0,0,0,0,0,0,0,0,0,0,11.1
2020,2,Buffalo BillsVMiami Dolphins,MIA,Jason Sanders,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,11.0
2020,2,Buffalo BillsVMiami Dolphins,BUF,Cole Beasley,WR,0,0,0,0,5,0,70,0,0,0,0,0,0,0,0,0,0,0,9.5
2020,2,Buffalo BillsVMiami Dolphins,BUF,Devin Singletary,RB,0,0,0,56,2,0,20,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,2,Buffalo BillsVMiami Dolphins,BUF,Gabriel Davis,WR,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,7.1
2020,2,Buffalo BillsVMiami Dolphins,BUF,Tyler Bass,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,7.0
2020,2,Buffalo BillsVMiami Dolphins,BUF,Reggie Gilliam,TE,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,2,Buffalo BillsVMiami Dolphins,MIA,Jordan Howard,RB,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,2,Buffalo BillsVMiami Dolphins,BUF,Isaiah McKenzie,WR,0,0,0,0,2,0,47,0,0,0,0,0,0,0,0,0,0,0,5.7
2020,2,Buffalo BillsVMiami Dolphins,MIA,Preston Williams,WR,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,1,5.1
2020,2,Buffalo BillsVMiami Dolphins,MIA,Matt Breida,RB,0,0,0,37,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4.4
2020,2,Buffalo BillsVMiami Dolphins,BUF,Zack Moss,RB,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,2,Buffalo BillsVMiami Dolphins,BUF,Dawson Knox,TE,0,0,0,0,1,0,36,0,1,0,0,0,0,0,0,0,0,0,2.1
2020,2,Buffalo BillsVMiami Dolphins,MIA,Adam Shaheen,TE,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,2,Buffalo BillsVMiami Dolphins,MIA,Jakeem Grant,WR,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,2,Buffalo BillsVMiami Dolphins,MIA,Lynn Bowden Jr.,WR,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,2,Buffalo BillsVMiami Dolphins,BUF,Andre Roberts,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Buffalo BillsVMiami Dolphins,BUF,Jaquan Johnson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
