Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,Leonard Fournette,RB,0,0,2,103,4,0,13,0,0,0,0,0,0,0,0,0,0,0,25.6
2020,2,Carolina PanthersVTampa Bay Buccaneers,CAR,Christian McCaffrey,RB,0,0,2,59,4,0,29,0,0,0,0,0,0,0,0,0,0,0,22.8
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,Mike Evans,WR,0,0,0,0,7,1,104,0,0,0,0,0,0,0,0,0,0,0,19.9
2020,2,Carolina PanthersVTampa Bay Buccaneers,CAR,D.J. Moore,WR,0,0,0,0,8,0,120,0,0,0,0,0,0,0,0,0,0,0,16.0
2020,2,Carolina PanthersVTampa Bay Buccaneers,CAR,Robby Anderson,WR,0,0,0,0,9,0,109,0,1,0,0,0,0,0,0,0,0,0,13.4
2020,2,Carolina PanthersVTampa Bay Buccaneers,CAR,Mike Davis,RB,0,0,0,1,8,0,74,0,0,0,0,0,0,0,0,0,0,0,11.5
2020,2,Carolina PanthersVTampa Bay Buccaneers,CAR,Teddy Bridgewater,QB,0,367,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,10.68
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,Ronald Jones II,RB,0,0,1,23,2,0,4,0,0,0,0,0,0,0,0,0,0,0,9.7
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,Tom Brady,QB,1,217,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.68
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,Ryan Succop,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,7.0
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,Justin Watson,WR,0,0,0,0,2,0,48,0,0,0,0,0,0,0,0,0,0,0,5.8
2020,2,Carolina PanthersVTampa Bay Buccaneers,CAR,Joey Slye,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5.0
2020,2,Carolina PanthersVTampa Bay Buccaneers,CAR,Curtis Samuel,WR,0,0,0,26,2,0,13,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,LeSean McCoy,RB,0,0,0,-5,5,0,26,0,0,0,0,0,0,0,0,0,0,0,4.6
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,Scott Miller,WR,0,0,0,1,2,0,11,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,2,Carolina PanthersVTampa Bay Buccaneers,CAR,Alex Armah,FB,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,O.J. Howard,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,2,Carolina PanthersVTampa Bay Buccaneers,CAR,Chris Manhertz,TE,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,2,Carolina PanthersVTampa Bay Buccaneers,CAR,Jeremy Chinn,RLB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,Rob Gronkowski,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,Cyril Grayson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Carolina PanthersVTampa Bay Buccaneers,CAR,Pharoh Cooper,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Carolina PanthersVTampa Bay Buccaneers,TAM,Jaydon Mickens,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
