Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Jeff Driskel,QB,2,256,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19.74
2020,2,Denver BroncosVPittsburgh Steelers,PIT,Ben Roethlisberger,QB,2,311,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.24
2020,2,Denver BroncosVPittsburgh Steelers,PIT,Diontae Johnson,WR,0,0,0,0,8,1,92,0,0,0,0,0,0,0,0,0,0,0,19.2
2020,2,Denver BroncosVPittsburgh Steelers,PIT,James Conner,RB,0,0,1,106,2,0,15,0,0,0,0,0,0,0,0,0,0,0,19.1
2020,2,Denver BroncosVPittsburgh Steelers,PIT,Chase Claypool,WR,0,0,0,0,3,1,88,0,0,0,0,0,0,0,0,0,0,0,16.3
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Noah Fant,TE,0,0,0,0,4,1,57,0,0,0,0,0,0,0,0,0,0,1,15.7
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Melvin Gordon,RB,0,0,0,70,2,1,14,0,0,0,0,0,0,0,0,0,0,0,15.4
2020,2,Denver BroncosVPittsburgh Steelers,PIT,JuJu Smith-Schuster,WR,0,0,0,0,7,0,48,0,0,0,0,0,0,0,0,0,0,0,8.3
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Jerry Jeudy,WR,0,0,0,0,4,0,62,0,0,0,0,0,0,0,0,0,0,0,8.2
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Courtland Sutton,WR,0,0,0,0,3,0,66,0,0,0,0,0,0,0,0,0,0,0,8.1
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Brandon McManus,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,8.0
2020,2,Denver BroncosVPittsburgh Steelers,DEN,KJ Hamler,WR,0,0,0,9,3,0,48,0,0,0,0,0,0,0,0,0,0,0,7.2
2020,2,Denver BroncosVPittsburgh Steelers,PIT,Chris Boswell,K,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6.0
2020,2,Denver BroncosVPittsburgh Steelers,PIT,Eric Ebron,TE,0,0,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,5.8
2020,2,Denver BroncosVPittsburgh Steelers,PIT,James Washington,WR,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Tim Patrick,WR,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Royce Freeman,RB,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,2,Denver BroncosVPittsburgh Steelers,DEN,DaeSean Hamilton,WR,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,2,Denver BroncosVPittsburgh Steelers,PIT,Jaylen Samuels,RB,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,2,Denver BroncosVPittsburgh Steelers,PIT,Vance McDonald,TE,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Sam Martin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Nick Vannett,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Diontae Spencer,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Denver BroncosVPittsburgh Steelers,PIT,Ray-Ray McCloud,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Denver BroncosVPittsburgh Steelers,DEN,Drew Lock,QB,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.2
2020,2,Denver BroncosVPittsburgh Steelers,PIT,Benny Snell Jr.,RB,0,0,0,5,1,0,-4,0,1,0,0,0,0,0,0,0,0,0,-1.4
