Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,2,Detroit LionsVGreen Bay Packers,GNB,Aaron Jones,RB,0,0,2,168,4,1,68,0,0,0,0,0,0,0,0,0,0,0,43.6
2020,2,Detroit LionsVGreen Bay Packers,GNB,Aaron Rodgers,QB,2,240,0,12,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,18.7
2020,2,Detroit LionsVGreen Bay Packers,DET,Matthew Stafford,QB,2,244,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.16
2020,2,Detroit LionsVGreen Bay Packers,GNB,Mason Crosby,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,11.0
2020,2,Detroit LionsVGreen Bay Packers,DET,Marvin Jones,WR,0,0,0,0,4,1,23,0,0,0,0,0,0,0,0,0,0,0,10.3
2020,2,Detroit LionsVGreen Bay Packers,DET,D'Andre Swift,RB,0,0,0,12,5,0,60,0,0,0,0,0,0,0,0,0,0,0,9.7
2020,2,Detroit LionsVGreen Bay Packers,GNB,Robert Tonyan,TE,0,0,0,0,2,1,25,0,0,0,0,0,0,0,0,0,0,0,9.5
2020,2,Detroit LionsVGreen Bay Packers,DET,Kerryon Johnson,RB,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2
2020,2,Detroit LionsVGreen Bay Packers,DET,Marvin Hall,WR,0,0,0,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,8.9
2020,2,Detroit LionsVGreen Bay Packers,GNB,Jamaal Williams,RB,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.3
2020,2,Detroit LionsVGreen Bay Packers,DET,T.J. Hockenson,TE,0,0,0,0,4,0,62,0,0,0,0,0,0,0,0,0,0,0,8.2
2020,2,Detroit LionsVGreen Bay Packers,GNB,Marquez Valdes-Scantling,WR,0,0,0,0,3,0,64,0,0,0,0,0,0,0,0,0,0,0,7.9
2020,2,Detroit LionsVGreen Bay Packers,DET,Quintez Cephus,WR,0,0,0,0,3,0,54,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,2,Detroit LionsVGreen Bay Packers,GNB,Allen Lazard,WR,0,0,0,0,3,0,45,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,2,Detroit LionsVGreen Bay Packers,GNB,Davante Adams,WR,0,0,0,0,3,0,36,0,0,0,0,0,0,0,0,0,0,0,5.1
2020,2,Detroit LionsVGreen Bay Packers,DET,Adrian Peterson,RB,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1
2020,2,Detroit LionsVGreen Bay Packers,DET,Danny Amendola,wr,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,2,Detroit LionsVGreen Bay Packers,DET,Matt Prater,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2020,2,Detroit LionsVGreen Bay Packers,GNB,AJ Dillon,RB,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,2,Detroit LionsVGreen Bay Packers,GNB,Marcedes Lewis,TE,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,2,Detroit LionsVGreen Bay Packers,GNB,Tyler Ervin,RB,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,2,Detroit LionsVGreen Bay Packers,DET,Jamal Agnew,WR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2020,2,Detroit LionsVGreen Bay Packers,DET,Ty Johnson,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Detroit LionsVGreen Bay Packers,GNB,Jace Sternberger,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Detroit LionsVGreen Bay Packers,GNB,Josh Jackson,rcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Detroit LionsVGreen Bay Packers,GNB,Tim Boyle,QB,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
