Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Ryan Tannehill,QB,4,239,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.76
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,Gardner Minshew II,QB,3,339,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25.46
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Jonnu Smith,TE,0,0,0,0,4,2,84,0,0,0,0,0,0,0,0,0,0,0,22.4
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,James Robinson,RB,0,0,1,102,3,0,18,0,0,0,0,0,0,0,0,0,0,0,19.5
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,Keelan Cole,wr,0,0,0,0,6,1,58,0,0,0,0,0,0,0,0,0,0,0,14.8
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Adam Humphries,WR,0,0,0,0,5,1,48,0,0,0,0,0,0,0,0,0,0,0,13.3
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Stephen Gostkowski,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,12.0
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Corey Davis,WR,0,0,0,0,3,1,36,0,0,0,0,0,0,0,0,0,0,0,11.1
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,Tyler Eifert,TE,0,0,0,0,3,1,36,0,0,0,0,0,0,0,0,0,0,0,11.1
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,DJ Chark,WR,0,0,0,0,4,0,84,0,0,0,0,0,0,0,0,0,0,0,10.4
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,Chris Thompson,RB,0,0,0,7,3,1,20,0,0,0,0,0,0,0,0,0,0,0,10.2
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,Laviska Shenault Jr.,WR,0,0,0,37,3,0,35,0,0,0,0,0,0,0,0,0,0,0,8.7
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Derrick Henry,RB,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,Chris Conley,WR,0,0,0,0,4,0,48,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Anthony Firkser,TE,0,0,0,0,4,0,45,0,0,0,0,0,0,0,0,0,0,0,6.5
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,Josh Lambo,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6.0
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,James O'Shaughnessy,TE,0,0,0,0,4,0,40,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Cameron Batson,WR,0,0,0,11,2,0,26,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Senorise Perry,RB,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Jeremy McNichols,RB,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,Bruce Miller,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,Collin Johnson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Jacksonville JaguarsVTennessee Titans,JAX,Chris Claybrooks,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Kalif Raymond,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Jacksonville JaguarsVTennessee Titans,TEN,Joshua Kalu,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
