Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,2,Los Angeles RamsVPhiladelphia Eagles,LAR,Tyler Higbee,TE,0,0,0,0,5,3,54,0,0,0,0,0,0,0,0,0,0,0,25.9
2020,2,Los Angeles RamsVPhiladelphia Eagles,LAR,Jared Goff,QB,3,267,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.98
2020,2,Los Angeles RamsVPhiladelphia Eagles,LAR,Darrell Henderson,RB,0,0,1,81,2,0,40,0,0,0,0,0,0,0,0,0,0,0,19.1
2020,2,Los Angeles RamsVPhiladelphia Eagles,PHI,Miles Sanders,RB,0,0,1,95,3,0,36,0,1,0,0,0,0,0,0,0,0,0,18.6
2020,2,Los Angeles RamsVPhiladelphia Eagles,PHI,Carson Wentz,QB,0,242,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14.38
2020,2,Los Angeles RamsVPhiladelphia Eagles,LAR,Cooper Kupp,WR,0,0,0,19,5,0,81,0,1,0,0,0,0,0,0,0,0,0,10.5
2020,2,Los Angeles RamsVPhiladelphia Eagles,LAR,Robert Woods,WR,0,0,1,19,2,0,14,0,0,0,0,0,0,0,0,0,0,0,10.3
2020,2,Los Angeles RamsVPhiladelphia Eagles,PHI,DeSean Jackson,WR,0,0,0,0,6,0,64,0,0,0,0,0,0,0,0,0,0,0,9.4
2020,2,Los Angeles RamsVPhiladelphia Eagles,LAR,Sam Sloman,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,7.0
2020,2,Los Angeles RamsVPhiladelphia Eagles,PHI,Jake Elliott,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,7.0
2020,2,Los Angeles RamsVPhiladelphia Eagles,PHI,Zach Ertz,TE,0,0,0,0,5,0,42,0,0,0,0,0,0,0,0,0,0,0,6.7
2020,2,Los Angeles RamsVPhiladelphia Eagles,LAR,Van Jefferson,WR,0,0,0,-1,4,0,45,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,2,Los Angeles RamsVPhiladelphia Eagles,PHI,Jalen Reagor,WR,0,0,0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,6.1
2020,2,Los Angeles RamsVPhiladelphia Eagles,PHI,Boston Scott,RB,0,0,0,19,3,0,24,0,0,0,0,0,0,0,0,0,0,0,5.8
2020,2,Los Angeles RamsVPhiladelphia Eagles,PHI,Dallas Goedert,TE,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,5.0
2020,2,Los Angeles RamsVPhiladelphia Eagles,LAR,Malcolm Brown,RB,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,2,Los Angeles RamsVPhiladelphia Eagles,LAR,Josh Reynolds,WR,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,2,Los Angeles RamsVPhiladelphia Eagles,LAR,Cam Akers,RB,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,2,Los Angeles RamsVPhiladelphia Eagles,PHI,Greg Ward,WR,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,2,Los Angeles RamsVPhiladelphia Eagles,PHI,JJ Arcega-Whiteside,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Los Angeles RamsVPhiladelphia Eagles,LAR,Nsimba Webster,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
