Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,2,Minnesota VikingsVIndianapolis Colts,IND,Jonathan Taylor,RB,0,0,1,101,2,0,9,0,0,0,0,0,0,0,0,0,0,0,18.0
2020,2,Minnesota VikingsVIndianapolis Colts,MIN,Dalvin Cook,RB,0,0,1,63,2,0,8,0,0,0,0,0,0,0,0,0,0,1,16.1
2020,2,Minnesota VikingsVIndianapolis Colts,IND,Rodrigo Blankenship,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,15.0
2020,2,Minnesota VikingsVIndianapolis Colts,IND,Mo Alie-Cox,TE,0,0,0,0,5,0,111,0,0,0,0,0,0,0,0,0,0,0,13.6
2020,2,Minnesota VikingsVIndianapolis Colts,IND,Philip Rivers,QB,1,214,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.86
2020,2,Minnesota VikingsVIndianapolis Colts,IND,Zach Pascal,WR,0,0,0,0,3,1,19,0,0,0,0,0,0,0,0,0,0,0,9.4
2020,2,Minnesota VikingsVIndianapolis Colts,MIN,Justin Jefferson,WR,0,0,0,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,5.9
2020,2,Minnesota VikingsVIndianapolis Colts,IND,Michael Pittman Jr.,WR,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,0,5.7
2020,2,Minnesota VikingsVIndianapolis Colts,MIN,Adam Thielen,WR,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,4.6
2020,2,Minnesota VikingsVIndianapolis Colts,IND,T.Y. Hilton,WR,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,2,Minnesota VikingsVIndianapolis Colts,IND,Jordan Wilkins,RB,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
2020,2,Minnesota VikingsVIndianapolis Colts,MIN,Dan Bailey,K,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
2020,2,Minnesota VikingsVIndianapolis Colts,MIN,Olabisi Johnson,WR,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,2,Minnesota VikingsVIndianapolis Colts,MIN,Alexander Mattison,RB,0,0,0,13,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,2,Minnesota VikingsVIndianapolis Colts,MIN,Kirk Cousins,QB,0,113,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.52
2020,2,Minnesota VikingsVIndianapolis Colts,IND,Ashton Dulin,WR,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,2,Minnesota VikingsVIndianapolis Colts,IND,Nyheim Hines,RB,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,2,Minnesota VikingsVIndianapolis Colts,MIN,Irv Smith Jr.,TE,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,2,Minnesota VikingsVIndianapolis Colts,IND,Parris Campbell,WR,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,2,Minnesota VikingsVIndianapolis Colts,MIN,C.J. Ham,RB,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,2,Minnesota VikingsVIndianapolis Colts,MIN,Kyle Rudolph,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,2,Minnesota VikingsVIndianapolis Colts,MIN,K.J. Osborn,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
