Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Alvin Kamara,RB,0,0,2,79,9,0,95,0,0,0,0,0,0,0,0,0,0,0,33.9
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Darren Waller,TE,0,0,0,0,12,1,105,0,0,0,0,0,0,0,0,0,0,0,22.5
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Derek Carr,QB,3,284,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.66
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Drew Brees,QB,1,312,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.48
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Josh Jacobs,RB,0,0,0,88,3,0,17,0,0,0,0,0,0,0,0,0,0,0,12.0
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Daniel Carlson,K,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,12.0
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Tre'Quan Smith,WR,0,0,0,0,5,0,86,0,0,0,0,0,0,0,0,0,0,0,11.1
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Jalen Richard,RB,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Jared Cook,TE,0,0,0,0,2,1,13,0,0,0,0,0,0,0,0,0,0,0,8.3
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Zay Jones,WR,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,8.0
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Alec Ingold,FB,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,7.5
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Wil Lutz,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6.0
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Bryan Edwards,WR,0,0,0,0,2,0,42,0,0,0,0,0,0,0,0,0,0,0,5.2
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Hunter Renfrow,wr,0,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,5.2
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Deonte Harris,WR,0,0,0,11,3,0,23,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Latavius Murray,rb,0,0,0,14,2,0,19,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Foster Moreau,TE,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Ty Montgomery,WR,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Nelson Agholor,WR,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Emmanuel Sanders,WR,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,2.3
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Adam Trautman,te,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Josh Hill,te,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Devontae Booker,RB,0,0,0,-1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Henry Ruggs III,WR,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,2,New Orleans SaintsVLas Vegas Raiders,NOR,Taysom Hill,WR,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,2,New Orleans SaintsVLas Vegas Raiders,LVR,Jason Witten,TE,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
