Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,3,Dallas CowboysVSeattle Seahawks,SEA,Russell Wilson,QB,5,315,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.8
2020,3,Dallas CowboysVSeattle Seahawks,SEA,Tyler Lockett,WR,0,0,0,0,9,3,100,0,0,0,0,0,0,0,0,0,0,0,32.5
2020,3,Dallas CowboysVSeattle Seahawks,DAL,Dak Prescott,QB,3,472,0,26,0,0,0,2,1,0,0,0,0,0,0,0,0,0,29.48
2020,3,Dallas CowboysVSeattle Seahawks,DAL,Cedrick Wilson Jr.,WR,0,0,0,0,5,2,107,0,0,0,0,0,0,0,0,0,0,0,25.2
2020,3,Dallas CowboysVSeattle Seahawks,DAL,Michael Gallup,WR,0,0,0,0,6,1,138,0,0,0,0,0,0,0,0,0,0,0,22.8
2020,3,Dallas CowboysVSeattle Seahawks,SEA,D.K. Metcalf,WR,0,0,0,0,4,1,110,0,1,0,0,0,0,0,0,0,0,0,17.0
2020,3,Dallas CowboysVSeattle Seahawks,DAL,Ezekiel Elliott,RB,0,0,1,34,6,0,24,0,0,0,0,0,0,0,0,0,0,0,14.8
2020,3,Dallas CowboysVSeattle Seahawks,DAL,Amari Cooper,WR,0,0,0,0,9,0,86,0,0,0,0,0,0,0,0,0,0,0,13.1
2020,3,Dallas CowboysVSeattle Seahawks,SEA,Chris Carson,RB,0,0,0,64,3,0,12,0,0,0,0,0,0,0,0,0,0,0,9.1
2020,3,Dallas CowboysVSeattle Seahawks,DAL,CeeDee Lamb,WR,0,0,0,1,5,0,65,0,0,0,0,0,0,0,0,0,0,0,9.1
2020,3,Dallas CowboysVSeattle Seahawks,DAL,Greg Zuerlein,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,9.0
2020,3,Dallas CowboysVSeattle Seahawks,SEA,Greg Olsen,TE,0,0,0,0,5,0,61,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,3,Dallas CowboysVSeattle Seahawks,SEA,Jacob Hollister,TE,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,8.6
2020,3,Dallas CowboysVSeattle Seahawks,DAL,Dalton Schultz,TE,0,0,0,0,4,0,48,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,3,Dallas CowboysVSeattle Seahawks,SEA,Jason Myers,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2020,3,Dallas CowboysVSeattle Seahawks,SEA,Carlos Hyde,RB,0,0,0,12,1,0,11,0,0,0,0,0,0,0,0,0,0,0,2.8
2020,3,Dallas CowboysVSeattle Seahawks,SEA,Travis Homer,RB,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,3,Dallas CowboysVSeattle Seahawks,SEA,Freddie Swain,WR,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,3,Dallas CowboysVSeattle Seahawks,SEA,Will Dissly,TE,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,3,Dallas CowboysVSeattle Seahawks,DAL,Noah Brown,WR,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,3,Dallas CowboysVSeattle Seahawks,SEA,David Moore,WR,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,3,Dallas CowboysVSeattle Seahawks,DAL,Tony Pollard,RB,0,0,0,0,1,0,-5,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,3,Dallas CowboysVSeattle Seahawks,DAL,Blake Bell,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
