Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,3,Detroit LionsVArizona Cardinals,ARI,Kyler Murray,QB,2,270,1,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,24.7
2020,3,Detroit LionsVArizona Cardinals,ARI,DeAndre Hopkins,WR,0,0,0,0,10,0,137,0,0,0,0,0,0,0,0,0,0,0,18.7
2020,3,Detroit LionsVArizona Cardinals,DET,Matthew Stafford,QB,2,270,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5
2020,3,Detroit LionsVArizona Cardinals,ARI,Andy Isabella,WR,0,0,0,-6,4,2,47,0,0,0,0,0,0,0,0,0,0,0,18.1
2020,3,Detroit LionsVArizona Cardinals,DET,Kenny Golladay,WR,0,0,0,0,6,1,57,0,0,0,0,0,0,0,0,0,0,0,14.7
2020,3,Detroit LionsVArizona Cardinals,DET,Matt Prater,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,14.0
2020,3,Detroit LionsVArizona Cardinals,DET,Jesse James,TE,0,0,0,0,3,1,28,0,0,0,0,0,0,0,0,0,0,0,10.3
2020,3,Detroit LionsVArizona Cardinals,DET,Adrian Peterson,RB,0,0,0,75,1,0,10,0,0,0,0,0,0,0,0,0,0,0,9.0
2020,3,Detroit LionsVArizona Cardinals,ARI,Kenyan Drake,RB,0,0,0,73,1,0,6,0,0,0,0,0,0,0,0,0,0,0,8.4
2020,3,Detroit LionsVArizona Cardinals,DET,T.J. Hockenson,TE,0,0,0,0,4,0,53,0,0,0,0,0,0,0,0,0,0,0,7.3
2020,3,Detroit LionsVArizona Cardinals,ARI,Zane Gonzalez,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7.0
2020,3,Detroit LionsVArizona Cardinals,DET,Marvin Jones,WR,0,0,0,0,3,0,51,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,3,Detroit LionsVArizona Cardinals,ARI,Chase Edmonds,RB,0,0,0,13,2,0,21,0,0,0,0,0,0,0,0,0,0,0,4.4
2020,3,Detroit LionsVArizona Cardinals,DET,Kerryon Johnson,RB,0,0,0,16,1,0,14,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,3,Detroit LionsVArizona Cardinals,ARI,KeeSean Johnson,WR,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,3,Detroit LionsVArizona Cardinals,ARI,Darrell Daniels,TE,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,3,Detroit LionsVArizona Cardinals,DET,Jamal Agnew,,0,0,0,2,2,0,20,0,0,0,0,0,0,0,0,0,0,0,3.2
2020,3,Detroit LionsVArizona Cardinals,DET,D'Andre Swift,RB,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,3,Detroit LionsVArizona Cardinals,DET,Danny Amendola,WR,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,2.3
2020,3,Detroit LionsVArizona Cardinals,ARI,Dan Arnold,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,3,Detroit LionsVArizona Cardinals,ARI,Larry Fitzgerald,WR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
