Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,3,Houston TexansVPittsburgh Steelers,PIT,James Conner,RB,0,0,1,109,4,0,40,0,0,0,0,0,0,0,0,0,0,0,22.9
2020,3,Houston TexansVPittsburgh Steelers,PIT,Ben Roethlisberger,QB,2,237,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.18
2020,3,Houston TexansVPittsburgh Steelers,HOU,Deshaun Watson,QB,2,264,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.06
2020,3,Houston TexansVPittsburgh Steelers,HOU,Randall Cobb,WR,0,0,0,0,4,1,95,0,0,0,0,0,0,0,0,0,0,0,17.5
2020,3,Houston TexansVPittsburgh Steelers,PIT,JuJu Smith-Schuster,WR,0,0,0,0,4,1,43,0,0,0,0,0,0,0,0,0,0,1,14.3
2020,3,Houston TexansVPittsburgh Steelers,PIT,Eric Ebron,TE,0,0,0,0,5,1,52,0,0,0,0,0,0,0,0,0,0,0,13.7
2020,3,Houston TexansVPittsburgh Steelers,HOU,Will Fuller,WR,0,0,0,0,4,1,54,0,0,0,0,0,0,0,0,0,0,0,13.4
2020,3,Houston TexansVPittsburgh Steelers,HOU,David Johnson,RB,0,0,1,23,2,0,23,0,0,0,0,0,0,0,0,0,0,0,11.6
2020,3,Houston TexansVPittsburgh Steelers,PIT,Chris Boswell,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,8.0
2020,3,Houston TexansVPittsburgh Steelers,PIT,James Washington,WR,0,0,0,0,5,0,36,0,0,0,0,0,0,0,0,0,0,0,6.1
2020,3,Houston TexansVPittsburgh Steelers,PIT,Anthony McFarland Jr.,RB,0,0,0,42,1,0,7,0,0,0,0,0,0,0,0,0,0,0,5.4
2020,3,Houston TexansVPittsburgh Steelers,HOU,Kenny Stills,WR,0,0,0,0,3,0,35,0,0,0,0,0,0,0,0,0,0,0,5.0
2020,3,Houston TexansVPittsburgh Steelers,PIT,Vance McDonald,TE,0,0,0,0,3,0,35,0,0,0,0,0,0,0,0,0,0,0,5.0
2020,3,Houston TexansVPittsburgh Steelers,HOU,Brandin Cooks,WR,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,3.8
2020,3,Houston TexansVPittsburgh Steelers,HOU,Jordan Akins,TE,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,3.8
2020,3,Houston TexansVPittsburgh Steelers,HOU,Ka'imi Fairbairn,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2020,3,Houston TexansVPittsburgh Steelers,PIT,Chase Claypool,WR,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,3,Houston TexansVPittsburgh Steelers,HOU,Cullen Gillaspia,RB,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,3,Houston TexansVPittsburgh Steelers,PIT,Benny Snell Jr.,RB,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,3,Houston TexansVPittsburgh Steelers,PIT,Diontae Johnson,WR,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,3,Houston TexansVPittsburgh Steelers,PIT,Jaylen Samuels,RB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,3,Houston TexansVPittsburgh Steelers,HOU,C.J. Prosise,RB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,3,Houston TexansVPittsburgh Steelers,HOU,Darren Fells,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,3,Houston TexansVPittsburgh Steelers,HOU,DeAndre Carter,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,3,Houston TexansVPittsburgh Steelers,PIT,Ray-Ray McCloud,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
