Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,3,Los Angeles RamsVBuffalo Bills,BUF,Josh Allen,QB,4,311,1,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,32.24
2020,3,Los Angeles RamsVBuffalo Bills,LAR,Jared Goff,QB,2,321,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,28.24
2020,3,Los Angeles RamsVBuffalo Bills,LAR,Cooper Kupp,WR,0,0,0,0,9,1,107,0,0,0,0,0,0,0,0,0,0,0,21.2
2020,3,Los Angeles RamsVBuffalo Bills,LAR,Robert Woods,WR,0,0,0,30,5,1,74,0,0,0,0,0,0,0,0,0,0,0,18.9
2020,3,Los Angeles RamsVBuffalo Bills,LAR,Darrell Henderson,RB,0,0,1,114,1,0,6,0,0,0,0,0,0,0,0,0,0,0,18.5
2020,3,Los Angeles RamsVBuffalo Bills,BUF,Tyler Kroft,TE,0,0,0,0,4,2,24,0,0,0,0,0,0,0,0,0,0,0,16.4
2020,3,Los Angeles RamsVBuffalo Bills,BUF,Devin Singletary,RB,0,0,0,71,4,0,50,0,0,0,0,0,0,0,0,0,0,0,14.1
2020,3,Los Angeles RamsVBuffalo Bills,BUF,Cole Beasley,WR,0,0,0,0,6,0,100,0,0,0,0,0,0,0,0,0,0,0,13.0
2020,3,Los Angeles RamsVBuffalo Bills,BUF,Stefon Diggs,WR,0,0,0,0,4,1,49,0,0,0,0,0,0,0,0,0,0,0,12.9
2020,3,Los Angeles RamsVBuffalo Bills,BUF,Gabriel Davis,WR,0,0,0,0,4,0,81,0,0,0,0,0,0,0,0,0,0,0,10.1
2020,3,Los Angeles RamsVBuffalo Bills,LAR,Tyler Higbee,TE,0,0,0,0,2,0,40,0,0,0,0,0,0,0,0,0,0,1,7.0
2020,3,Los Angeles RamsVBuffalo Bills,BUF,Lee Smith,TE,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,3,Los Angeles RamsVBuffalo Bills,LAR,Sam Sloman,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6.0
2020,3,Los Angeles RamsVBuffalo Bills,LAR,Josh Reynolds,WR,0,0,0,0,4,0,60,0,1,0,0,0,0,0,0,0,0,0,6.0
2020,3,Los Angeles RamsVBuffalo Bills,BUF,Tyler Bass,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5.0
2020,3,Los Angeles RamsVBuffalo Bills,LAR,Gerald Everett,TE,0,0,0,0,2,0,34,0,0,0,0,0,0,0,0,0,0,0,4.4
2020,3,Los Angeles RamsVBuffalo Bills,LAR,Malcolm Brown,RB,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,3,Los Angeles RamsVBuffalo Bills,BUF,T.J. Yeldon,RB,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,3,Los Angeles RamsVBuffalo Bills,BUF,Isaiah McKenzie,WR,0,0,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,3,Los Angeles RamsVBuffalo Bills,LAR,Van Jefferson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,3,Los Angeles RamsVBuffalo Bills,BUF,John Brown,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,3,Los Angeles RamsVBuffalo Bills,LAR,Raymond Calais,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,3,Los Angeles RamsVBuffalo Bills,BUF,Andre Roberts,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
