Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,3,Miami DolphinsVJacksonville Jaguars,JAX,James Robinson,RB,0,0,2,46,6,0,83,0,0,0,0,0,0,0,0,0,0,0,27.9
2020,3,Miami DolphinsVJacksonville Jaguars,MIA,Ryan Fitzpatrick,QB,2,160,1,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7
2020,3,Miami DolphinsVJacksonville Jaguars,MIA,Myles Gaskin,RB,0,0,0,66,5,0,29,0,0,0,0,0,0,0,0,0,0,0,12.0
2020,3,Miami DolphinsVJacksonville Jaguars,JAX,Gardner Minshew II,QB,0,275,0,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10.2
2020,3,Miami DolphinsVJacksonville Jaguars,MIA,DeVante Parker,WR,0,0,0,0,5,0,69,0,0,0,0,0,0,0,0,0,0,0,9.4
2020,3,Miami DolphinsVJacksonville Jaguars,MIA,Mike Gesicki,TE,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,8.0
2020,3,Miami DolphinsVJacksonville Jaguars,MIA,Preston Williams,WR,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,7.7
2020,3,Miami DolphinsVJacksonville Jaguars,MIA,Jason Sanders,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,7.0
2020,3,Miami DolphinsVJacksonville Jaguars,JAX,Chris Thompson,RB,0,0,0,3,5,0,35,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,3,Miami DolphinsVJacksonville Jaguars,JAX,Keelan Cole,WR,0,0,0,0,4,0,43,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,3,Miami DolphinsVJacksonville Jaguars,MIA,Jordan Howard,RB,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1
2020,3,Miami DolphinsVJacksonville Jaguars,JAX,Laviska Shenault Jr.,WR,0,0,0,1,5,0,33,0,0,0,0,0,0,0,0,0,0,0,5.9
2020,3,Miami DolphinsVJacksonville Jaguars,MIA,Jakeem Grant,WR,0,0,0,29,1,0,19,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,3,Miami DolphinsVJacksonville Jaguars,JAX,Chris Conley,WR,0,0,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,3,Miami DolphinsVJacksonville Jaguars,JAX,James O'Shaughnessy,TE,0,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,4.4
2020,3,Miami DolphinsVJacksonville Jaguars,MIA,Isaiah Ford,WR,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,3,Miami DolphinsVJacksonville Jaguars,JAX,Tyler Eifert,TE,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,3,Miami DolphinsVJacksonville Jaguars,MIA,Durham Smythe,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,3,Miami DolphinsVJacksonville Jaguars,JAX,Brandon Wright,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
2020,3,Miami DolphinsVJacksonville Jaguars,JAX,Dede Westbrook,WR,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,3,Miami DolphinsVJacksonville Jaguars,JAX,Collin Johnson,WR,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,3,Miami DolphinsVJacksonville Jaguars,MIA,Matt Breida,RB,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
