Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,3,Tennessee TitansVMinnesota Vikings,MIN,Justin Jefferson,WR,0,0,0,0,7,1,175,0,0,0,0,0,0,0,0,0,0,0,27.0
2020,3,Tennessee TitansVMinnesota Vikings,TEN,Derrick Henry,RB,0,0,2,119,2,0,11,0,0,0,0,0,0,0,0,0,0,0,26.0
2020,3,Tennessee TitansVMinnesota Vikings,TEN,Stephen Gostkowski,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,25.0
2020,3,Tennessee TitansVMinnesota Vikings,MIN,Dalvin Cook,RB,0,0,1,181,2,0,18,0,1,0,0,0,0,0,0,0,0,0,24.9
2020,3,Tennessee TitansVMinnesota Vikings,MIN,Kirk Cousins,QB,3,251,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21.44
2020,3,Tennessee TitansVMinnesota Vikings,TEN,Ryan Tannehill,QB,0,321,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13.24
2020,3,Tennessee TitansVMinnesota Vikings,TEN,Kalif Raymond,WR,0,0,0,-3,3,0,118,0,0,0,0,0,0,0,0,0,0,0,13.0
2020,3,Tennessee TitansVMinnesota Vikings,MIN,Adam Thielen,WR,0,0,0,4,3,1,29,0,0,0,0,0,0,0,0,0,0,0,10.8
2020,3,Tennessee TitansVMinnesota Vikings,TEN,Corey Davis,WR,0,0,0,0,5,0,69,0,0,0,0,0,0,0,0,0,0,0,9.4
2020,3,Tennessee TitansVMinnesota Vikings,TEN,Jonnu Smith,TE,0,0,0,0,5,0,61,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,3,Tennessee TitansVMinnesota Vikings,MIN,Kyle Rudolph,TE,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,8.1
2020,3,Tennessee TitansVMinnesota Vikings,MIN,Dan Bailey,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7.0
2020,3,Tennessee TitansVMinnesota Vikings,TEN,Adam Humphries,WR,0,0,0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,6.1
2020,3,Tennessee TitansVMinnesota Vikings,MIN,Alexander Mattison,RB,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,3,Tennessee TitansVMinnesota Vikings,TEN,MyCole Pruitt,TE,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,3,Tennessee TitansVMinnesota Vikings,MIN,C.J. Ham,RB,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,3,Tennessee TitansVMinnesota Vikings,MIN,Chad Beebe,WR,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,3,Tennessee TitansVMinnesota Vikings,TEN,Jeremy McNichols,RB,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,3,Tennessee TitansVMinnesota Vikings,TEN,Darrynton Evans,RB,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,3,Tennessee TitansVMinnesota Vikings,TEN,Nick Westbrook-Ikhine,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,3,Tennessee TitansVMinnesota Vikings,MIN,Ameer Abdullah,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
