Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,4,Atlanta FalconsVGreen Bay Packers,GNB,Robert Tonyan,TE,0,0,0,0,6,3,98,0,0,0,0,0,0,0,0,0,0,0,30.8
2020,4,Atlanta FalconsVGreen Bay Packers,GNB,Aaron Rodgers,QB,4,327,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.58
2020,4,Atlanta FalconsVGreen Bay Packers,GNB,Aaron Jones,RB,0,0,0,71,5,1,40,0,0,0,0,0,0,0,0,0,0,0,19.6
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Todd Gurley,RB,0,0,2,57,1,0,6,0,0,0,0,0,0,0,0,0,0,0,18.8
2020,4,Atlanta FalconsVGreen Bay Packers,GNB,Jamaal Williams,RB,0,0,0,10,8,0,95,0,0,0,0,0,0,0,0,0,0,0,14.5
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Olamide Zaccheaus,WR,0,0,0,0,8,0,86,0,0,0,0,0,0,0,0,0,0,0,12.6
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Matt Ryan,QB,0,285,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Hayden Hurst,TE,0,0,0,0,4,0,51,0,0,0,0,0,0,0,0,0,0,0,7.1
2020,4,Atlanta FalconsVGreen Bay Packers,GNB,Mason Crosby,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7.0
2020,4,Atlanta FalconsVGreen Bay Packers,GNB,Marquez Valdes-Scantling,WR,0,0,0,0,4,0,45,0,0,0,0,0,0,0,0,0,0,0,6.5
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Christian Blake,WR,0,0,0,0,3,0,47,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Julio Jones,WR,0,0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,5.2
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Ito Smith,RB,0,0,0,3,3,0,24,0,0,0,0,0,0,0,0,0,0,0,4.2
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Elliott Fry,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.0
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Brian Hill,RB,0,0,0,10,2,0,13,0,0,0,0,0,0,0,0,0,0,0,3.3
2020,4,Atlanta FalconsVGreen Bay Packers,GNB,Darrius Shepherd,WR,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Russell Gage,WR,0,0,0,-2,2,0,22,0,0,0,0,0,0,0,0,0,0,0,3.0
2020,4,Atlanta FalconsVGreen Bay Packers,GNB,Malik Taylor,WR,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,4,Atlanta FalconsVGreen Bay Packers,GNB,Tyler Ervin,RB,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Keith Smith,,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,4,Atlanta FalconsVGreen Bay Packers,GNB,AJ Dillon,RB,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Calvin Ridley,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Jaeden Graham,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,4,Atlanta FalconsVGreen Bay Packers,ATL,Brandon Powell,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,4,Atlanta FalconsVGreen Bay Packers,GNB,Tim Boyle,QB,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
