Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,4,Minnesota VikingsVHouston Texans,MIN,Dalvin Cook,RB,0,0,2,130,2,0,16,0,0,0,0,0,0,0,0,0,0,0,27.6
2020,4,Minnesota VikingsVHouston Texans,MIN,Adam Thielen,WR,0,0,0,8,8,1,114,0,0,0,0,0,0,0,0,0,0,0,22.2
2020,4,Minnesota VikingsVHouston Texans,HOU,Deshaun Watson,QB,2,300,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9
2020,4,Minnesota VikingsVHouston Texans,HOU,Will Fuller,WR,0,0,0,0,6,1,108,0,0,0,0,0,0,0,0,0,0,0,19.8
2020,4,Minnesota VikingsVHouston Texans,MIN,Kirk Cousins,QB,1,260,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9
2020,4,Minnesota VikingsVHouston Texans,HOU,Ka'imi Fairbairn,K,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,13.0
2020,4,Minnesota VikingsVHouston Texans,MIN,Justin Jefferson,WR,0,0,0,0,4,0,103,0,0,0,0,0,0,0,0,0,0,0,12.3
2020,4,Minnesota VikingsVHouston Texans,HOU,Kenny Stills,WR,0,0,0,0,2,1,39,0,0,0,0,0,0,0,0,0,0,0,10.9
2020,4,Minnesota VikingsVHouston Texans,HOU,David Johnson,RB,0,0,0,63,2,0,29,0,0,0,0,0,0,0,0,0,0,0,10.2
2020,4,Minnesota VikingsVHouston Texans,MIN,Alexander Mattison,RB,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
2020,4,Minnesota VikingsVHouston Texans,MIN,Dan Bailey,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,7.0
2020,4,Minnesota VikingsVHouston Texans,HOU,Jordan Akins,te,0,0,0,0,3,0,46,0,0,0,0,0,0,0,0,0,0,0,6.1
2020,4,Minnesota VikingsVHouston Texans,HOU,Duke Johnson,rb,0,0,0,24,3,0,21,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,4,Minnesota VikingsVHouston Texans,HOU,Randall Cobb,WR,0,0,0,0,2,0,36,0,0,0,0,0,0,0,0,0,0,0,4.6
2020,4,Minnesota VikingsVHouston Texans,MIN,Kyle Rudolph,TE,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,4,Minnesota VikingsVHouston Texans,HOU,Darren Fells,TE,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,4,Minnesota VikingsVHouston Texans,MIN,C.J. Ham,FB,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2020,4,Minnesota VikingsVHouston Texans,MIN,Irv Smith Jr.,te,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,4,Minnesota VikingsVHouston Texans,MIN,Olabisi Johnson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,4,Minnesota VikingsVHouston Texans,HOU,Brandin Cooks,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,4,Minnesota VikingsVHouston Texans,MIN,K.J. Osborn,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,4,Minnesota VikingsVHouston Texans,HOU,DeAndre Carter,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
