Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,George Kittle,TE,0,0,0,8,15,1,183,0,0,0,0,0,0,0,0,0,0,0,32.6
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,Carson Wentz,QB,1,193,1,37,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22.42
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,Jerick McKinnon,RB,0,0,1,54,7,0,43,0,0,0,0,0,0,0,0,0,0,0,19.2
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,Travis Fulgham,WR,0,0,0,0,2,1,57,0,0,0,0,0,0,0,0,0,0,0,12.7
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,Brandon Aiyuk,WR,0,0,1,38,2,0,18,0,0,0,0,0,0,0,0,0,0,0,12.6
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,Miles Sanders,RB,0,0,0,46,2,0,30,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,Nick Mullens,QB,1,200,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,8.0
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,Deebo Samuel,WR,0,0,0,10,3,0,35,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,Greg Ward,WR,0,0,0,0,4,0,38,0,0,0,0,0,0,0,0,0,0,0,5.8
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,C.J. Beathard,QB,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,Richard Rodgers,TE,0,0,0,0,3,0,35,0,0,0,0,0,0,0,0,0,0,0,5.0
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,Jake Elliott,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5.0
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,Zach Ertz,TE,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,1,4.9
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,Kendrick Bourne,WR,0,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,John Hightower,WR,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,3.2
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,Jeff Wilson,RB,0,0,0,6,1,0,13,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,Robbie Gould\g,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,Jalen Hurts,QB,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,Kyle Juszczyk,,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,Corey Clement,RB,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,Boston Scott,RB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,Trent Taylor,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,4,Philadelphia EaglesVSan Francisco 49ers,SFO,Dante Pettis,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,4,Philadelphia EaglesVSan Francisco 49ers,PHI,Adrian Killins,RB,0,0,0,-12,1,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.5
