Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,5,Carolina PanthersVAtlanta Falcons,CAR,Mike Davis,RB,0,0,0,89,9,1,60,0,0,0,0,0,0,0,0,0,0,0,25.4
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Todd Gurley,RB,0,0,1,121,4,0,29,0,0,0,0,0,0,0,0,0,0,0,23.0
2020,5,Carolina PanthersVAtlanta Falcons,CAR,Teddy Bridgewater,QB,2,313,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.82
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Calvin Ridley,WR,0,0,0,0,8,0,136,0,0,0,0,0,0,0,0,0,0,0,17.6
2020,5,Carolina PanthersVAtlanta Falcons,CAR,D.J. Moore,WR,0,0,0,0,4,1,93,0,0,0,0,0,0,0,0,0,0,0,17.3
2020,5,Carolina PanthersVAtlanta Falcons,CAR,Robby Anderson,WR,0,0,0,3,8,0,112,0,0,0,0,0,0,0,0,0,0,0,15.5
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Younghoe Koo,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,13.0
2020,5,Carolina PanthersVAtlanta Falcons,CAR,Joey Slye,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,11.0
2020,5,Carolina PanthersVAtlanta Falcons,CAR,Curtis Samuel,WR,0,0,0,28,5,0,36,0,0,0,0,0,0,0,0,0,0,0,8.9
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Matt Ryan,QB,0,226,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.94
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Brian Hill,RB,0,0,0,39,2,0,15,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Russell Gage,WR,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Olamide Zaccheaus,WR,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Hayden Hurst,TE,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,5,Carolina PanthersVAtlanta Falcons,CAR,Pharoh Cooper,WR,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Jaeden Graham,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Luke Stocker,TE,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Ito Smith,RB,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,5,Carolina PanthersVAtlanta Falcons,CAR,Alex Armah,FB,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Keith Smith,FB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,5,Carolina PanthersVAtlanta Falcons,CAR,Ian Thomas,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Carolina PanthersVAtlanta Falcons,ATL,Brandon Powell,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Carolina PanthersVAtlanta Falcons,CAR,Trenton Cannon,RB,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
