Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Marquise Brown,WR,0,0,0,1,6,1,77,0,0,0,0,0,0,0,0,0,0,0,16.8
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Mark Andrews,TE,0,0,0,0,6,1,56,0,0,0,0,0,0,0,0,0,0,0,14.6
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Lamar Jackson,QB,2,180,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.5
2020,5,Cincinnati BengalsVBaltimore Ravens,CIN,Joe Mixon,rb,0,0,0,59,6,0,35,0,0,0,0,0,0,0,0,0,0,0,12.4
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,10.0
2020,5,Cincinnati BengalsVBaltimore Ravens,CIN,Tee Higgins,WR,0,0,0,0,4,0,62,0,0,0,0,0,0,0,0,0,0,0,8.2
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,J.K. Dobbins,RB,0,0,0,34,3,0,21,0,0,0,0,0,0,0,0,0,0,0,7.0
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Devin Duvernay,WR,0,0,0,42,2,0,17,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,5,Cincinnati BengalsVBaltimore Ravens,CIN,Tyler Boyd,WR,0,0,0,0,4,0,42,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Mark Ingram,RB,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7
2020,5,Cincinnati BengalsVBaltimore Ravens,CIN,Joe Burrow,QB,0,183,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5.32
2020,5,Cincinnati BengalsVBaltimore Ravens,CIN,Drew Sample,TE,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,3.2
2020,5,Cincinnati BengalsVBaltimore Ravens,CIN,Randy Bullock,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Gus Edwards,rb,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,5,Cincinnati BengalsVBaltimore Ravens,CIN,Auden Tate,WR,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Patrick Ricard,FB,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,5,Cincinnati BengalsVBaltimore Ravens,CIN,Giovani Bernard,RB,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Nick Boyle,TE,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,5,Cincinnati BengalsVBaltimore Ravens,CIN,A.J. Green,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Willie Snead,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Miles Boykin,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Cincinnati BengalsVBaltimore Ravens,CIN,Alex Erickson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,James Proche,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Cincinnati BengalsVBaltimore Ravens,BAL,Robert Griffin III,QB,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
2020,5,Cincinnati BengalsVBaltimore Ravens,CIN,Mike Thomas,WR,0,0,0,1,1,0,6,0,1,0,0,0,0,0,0,0,0,0,-0.8
