Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Ryan Fitzpatrick,QB,3,350,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Jason Sanders,K,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,1,1,0,22.0
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Preston Williams,WR,0,0,0,0,4,1,106,0,0,0,0,0,0,0,0,0,0,0,18.6
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Myles Gaskin,RB,0,0,1,57,5,0,34,0,0,0,0,0,0,0,0,0,0,0,17.6
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,Raheem Mostert,RB,0,0,0,90,3,0,29,0,0,0,0,0,0,0,0,0,0,0,13.4
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,DeVante Parker,WR,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,12.0
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Mike Gesicki,TE,0,0,0,0,5,0,91,0,0,0,0,0,0,0,0,0,0,0,11.6
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,Kendrick Bourne,WR,0,0,0,0,2,1,30,0,0,0,0,0,0,0,0,0,0,0,10.0
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,Kyle Juszczyk,,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Adam Shaheen,TE,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,George Kittle,TE,0,0,0,0,4,0,44,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Matt Breida,RB,0,0,0,28,1,0,31,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,Brandon Aiyuk,WR,0,0,0,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,5.9
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,C.J. Beathard,QB,1,94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.76
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Isaiah Ford,WR,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,0,3.3
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,Deebo Samuel,WR,0,0,0,3,2,0,19,0,0,0,0,0,0,0,0,0,0,0,3.2
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,Jeff Wilson,RB,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,Robbie Gould\g,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,Jerick McKinnon,RB,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Chandler Cox,RB,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,Jimmy Garoppolo,QB,0,77,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.08
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Lynn Bowden Jr.,WR,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Clayton Fejedelem,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,Trent Taylor,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Miami DolphinsVSan Francisco 49ers,SFO,Kevin White,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Miami DolphinsVSan Francisco 49ers,MIA,Jakeem Grant,WR,0,0,0,-12,1,0,6,0,0,0,0,0,0,0,0,0,0,0,-0.1
