Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,5,Minnesota VikingsVSeattle Seahawks,SEA,Russell Wilson,QB,3,217,0,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.48
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Adam Thielen,WR,0,0,0,3,9,2,80,0,0,0,0,0,0,0,0,0,0,0,24.8
2020,5,Minnesota VikingsVSeattle Seahawks,SEA,D.K. Metcalf,WR,0,0,0,0,6,2,93,0,0,0,0,0,0,0,0,0,0,0,24.3
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Dalvin Cook,RB,0,0,1,65,5,0,24,0,0,0,0,0,0,0,0,0,0,0,17.4
2020,5,Minnesota VikingsVSeattle Seahawks,SEA,Chris Carson,RB,0,0,1,52,6,0,27,0,0,0,0,0,0,0,0,0,0,0,16.9
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Kirk Cousins,QB,2,249,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15.16
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Alexander Mattison,RB,0,0,0,112,3,0,24,0,0,0,0,0,0,0,0,0,0,0,15.1
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Dan Bailey,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,11.0
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Irv Smith Jr.,TE,0,0,0,0,4,0,64,0,0,0,0,0,0,0,0,0,0,0,8.4
2020,5,Minnesota VikingsVSeattle Seahawks,SEA,Will Dissly,TE,0,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,8.4
2020,5,Minnesota VikingsVSeattle Seahawks,SEA,Tyler Lockett,WR,0,0,0,0,4,0,44,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Justin Jefferson,WR,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,3.8
2020,5,Minnesota VikingsVSeattle Seahawks,SEA,Jason Myers,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2020,5,Minnesota VikingsVSeattle Seahawks,SEA,Greg Olsen,TE,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,5,Minnesota VikingsVSeattle Seahawks,SEA,Freddie Swain,WR,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Mike Boone,RB,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Olabisi Johnson,WR,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Chad Beebe,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Kyle Rudolph,TE,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,5,Minnesota VikingsVSeattle Seahawks,SEA,Travis Homer,RB,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,C.J. Ham,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Minnesota VikingsVSeattle Seahawks,SEA,David Moore,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Minnesota VikingsVSeattle Seahawks,MIN,Ameer Abdullah,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
