Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,5,Tampa Bay BuccaneersVChicago Bears,CHI,David Montgomery,RB,0,0,1,29,7,0,30,0,0,0,0,0,0,0,0,0,0,0,15.4
2020,5,Tampa Bay BuccaneersVChicago Bears,TAM,Tom Brady,QB,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.12
2020,5,Tampa Bay BuccaneersVChicago Bears,TAM,Ryan Succop,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,14.0
2020,5,Tampa Bay BuccaneersVChicago Bears,CHI,Allen Robinson,WR,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,14.0
2020,5,Tampa Bay BuccaneersVChicago Bears,TAM,Ronald Jones II,RB,0,0,0,106,3,0,19,0,0,0,0,0,0,0,0,0,0,0,14.0
2020,5,Tampa Bay BuccaneersVChicago Bears,CHI,Nick Foles,QB,1,243,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.62
2020,5,Tampa Bay BuccaneersVChicago Bears,TAM,Mike Evans,WR,0,0,0,0,5,1,41,0,0,0,0,0,0,0,0,0,0,0,12.6
2020,5,Tampa Bay BuccaneersVChicago Bears,CHI,Jimmy Graham,TE,0,0,0,0,3,1,33,0,0,0,0,0,0,0,0,0,0,0,10.8
2020,5,Tampa Bay BuccaneersVChicago Bears,CHI,Cairo Santos,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,9.0
2020,5,Tampa Bay BuccaneersVChicago Bears,TAM,Tyler Johnson,WR,0,0,0,0,4,0,61,0,0,0,0,0,0,0,0,0,0,0,8.1
2020,5,Tampa Bay BuccaneersVChicago Bears,TAM,Cameron Brate,TE,0,0,0,0,5,0,44,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,5,Tampa Bay BuccaneersVChicago Bears,TAM,Rob Gronkowski,TE,0,0,0,0,3,0,52,0,0,0,0,0,0,0,0,0,0,0,6.7
2020,5,Tampa Bay BuccaneersVChicago Bears,CHI,Cordarrelle Patterson,WR,0,0,0,7,3,0,38,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,5,Tampa Bay BuccaneersVChicago Bears,CHI,Anthony Miller,WR,0,0,0,0,4,0,28,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,5,Tampa Bay BuccaneersVChicago Bears,TAM,Jaydon Mickens,WR,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,3.2
2020,5,Tampa Bay BuccaneersVChicago Bears,CHI,Darnell Mooney,WR,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,5,Tampa Bay BuccaneersVChicago Bears,TAM,Tanner Hudson,TE,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,5,Tampa Bay BuccaneersVChicago Bears,CHI,Demetrius Harris,TE,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,5,Tampa Bay BuccaneersVChicago Bears,CHI,Ted Ginn Jr.,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,5,Tampa Bay BuccaneersVChicago Bears,TAM,Ke'Shawn Vaughn,RB,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,-0.5
