Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,Carson Wentz,QB,2,213,1,49,0,0,0,0,1,0,0,0,0,0,0,0,0,2,29.42
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,Lamar Jackson,QB,1,186,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.24
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,Travis Fulgham,WR,0,0,0,0,6,1,75,0,0,0,0,0,0,0,0,0,0,0,16.5
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,16.0
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,Miles Sanders,RB,0,0,0,118,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,11.7
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,Nick Boyle,TE,0,0,0,0,3,1,33,0,0,0,0,0,0,0,0,0,0,0,10.8
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,Gus Edwards,rb,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,Marquise Brown,WR,0,0,0,0,4,0,57,0,0,0,0,0,0,0,0,0,0,0,7.7
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,Jason Croom,TE,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,John Hightower,WR,0,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,Zach Ertz,TE,0,0,0,0,4,0,33,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,Greg Ward,WR,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,1,4.9
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,Devin Duvernay,WR,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,4.6
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,Richard Rodgers,TE,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,4.6
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,J.K. Dobbins,RB,0,0,0,28,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,Willie Snead,WR,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,Mark Andrews,TE,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,Jalen Hurts,QB,0,0,0,23,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,JJ Arcega-Whiteside,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,Mark Ingram,RB,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,Boston Scott,RB,0,0,0,4,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,Miles Boykin,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,Patrick Ricard,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Baltimore RavensVPhiladelphia Eagles,BAL,James Proche,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Baltimore RavensVPhiladelphia Eagles,PHI,Jake Elliott,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
