Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,Philip Rivers,QB,3,371,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.74
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,Trey Burton,TE,0,0,1,1,4,1,58,0,0,0,0,0,0,0,0,0,0,0,19.9
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Joe Burrow,QB,0,313,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.72
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Tee Higgins,WR,0,0,0,2,6,0,125,0,0,0,0,0,0,0,0,0,0,0,15.7
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Joe Mixon,RB,0,0,1,54,2,0,15,0,0,0,0,0,0,0,0,0,0,0,13.9
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,A.J. Green,WR,0,0,0,0,8,0,96,0,0,0,0,0,0,0,0,0,0,0,13.6
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,Jonathan Taylor,RB,0,0,0,60,4,0,55,0,0,0,0,0,0,0,0,0,0,0,13.5
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,Zach Pascal,WR,0,0,0,0,4,1,54,0,0,0,0,0,0,0,0,0,0,0,13.4
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,Marcus Johnson,WR,0,0,0,0,5,0,108,0,0,0,0,0,0,0,0,0,0,0,13.3
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Randy Bullock,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,12.0
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Tyler Boyd,WR,0,0,0,25,5,0,54,0,0,0,0,0,0,0,0,0,0,0,10.4
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Giovani Bernard,RB,0,0,1,15,3,0,13,0,0,0,0,0,0,0,0,0,0,0,10.3
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,Jack Doyle,TE,0,0,0,0,3,1,29,0,1,0,0,0,0,0,0,0,0,0,8.4
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,Rodrigo Blankenship,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,8.0
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,Nyheim Hines,RB,0,0,0,0,5,0,27,0,0,0,0,0,0,0,0,0,0,0,5.2
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,De'Michael Harris,WR,0,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,4.4
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,T.Y. Hilton,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Mike Thomas,WR,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Drew Sample,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Alex Erickson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Brandon Wilson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,Isaiah Rodgers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Samaje Perine,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Cincinnati BengalsVIndianapolis Colts,CIN,Cethan Carter,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Cincinnati BengalsVIndianapolis Colts,IND,Jordan Wilkins,RB,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
