Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,6,Cleveland BrownsVPittsburgh Steelers,PIT,James Conner,RB,0,0,1,101,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16.7
2020,6,Cleveland BrownsVPittsburgh Steelers,PIT,Chase Claypool,WR,0,0,1,7,4,0,74,0,0,0,0,0,0,0,0,0,0,0,16.1
2020,6,Cleveland BrownsVPittsburgh Steelers,PIT,James Washington,WR,0,0,0,0,4,1,68,0,0,0,0,0,0,0,0,0,0,0,14.8
2020,6,Cleveland BrownsVPittsburgh Steelers,PIT,Ben Roethlisberger,QB,1,162,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.98
2020,6,Cleveland BrownsVPittsburgh Steelers,PIT,Benny Snell Jr.,RB,0,0,1,17,1,0,4,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,6,Cleveland BrownsVPittsburgh Steelers,PIT,Chris Boswell,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,8.0
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,Rashard Higgins,WR,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,7.8
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,Austin Hooper,TE,0,0,0,0,5,0,52,0,0,0,0,0,0,0,0,0,0,0,7.7
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,Baker Mayfield,QB,1,119,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7.26
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,Kareem Hunt,RB,0,0,0,40,2,0,17,0,0,0,0,0,0,0,0,0,0,0,6.7
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,Jarvis Landry,WR,0,0,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,Odell Beckham Jr.,WR,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,Dontrell Hilliard,RB,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,6,Cleveland BrownsVPittsburgh Steelers,PIT,Eric Ebron,TE,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,Case Keenum,QB,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,Harrison Bryant,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,6,Cleveland BrownsVPittsburgh Steelers,PIT,JuJu Smith-Schuster,WR,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,6,Cleveland BrownsVPittsburgh Steelers,PIT,Anthony McFarland Jr.,RB,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,David Njoku,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,Cody Parkey,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,D'Ernest Johnson,RB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,6,Cleveland BrownsVPittsburgh Steelers,CLE,Donovan Peoples-Jones,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Cleveland BrownsVPittsburgh Steelers,PIT,Ray-Ray McCloud,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Cleveland BrownsVPittsburgh Steelers,PIT,Mason Rudolph,QB,0,6,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06
