Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Ronald Jones II,RB,0,0,2,113,2,0,8,0,0,0,0,0,0,0,0,0,0,0,25.1
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Rob Gronkowski,TE,0,0,0,0,5,1,78,0,0,0,0,0,0,0,0,0,0,0,16.3
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Tom Brady,QB,2,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Aaron Jones,RB,0,0,1,15,3,0,26,0,0,0,0,0,0,0,0,0,0,0,11.6
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Ryan Succop,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,10.0
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Davante Adams,WR,0,0,0,0,6,0,61,0,0,0,0,0,0,0,0,0,0,0,9.1
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Chris Godwin,WR,0,0,0,0,5,0,48,0,0,0,0,0,0,0,0,0,0,0,7.3
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Tyler Johnson,WR,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,7.2
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Aaron Rodgers,QB,0,160,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5.8
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Marquez Valdes-Scantling,WR,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Ke'Shawn Vaughn,RB,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Mason Crosby,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.0
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Robert Tonyan,TE,0,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,4.0
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Jamaal Williams,RB,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,AJ Dillon,RB,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Darrius Shepherd,WR,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Mike Evans,WR,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,LeSean McCoy,RB,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Scott Miller,WR,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Cameron Brate,TE,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Blaine Gabbert,QB,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Equanimeous St. Brown,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Tim Boyle,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Cyril Grayson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Green Bay PackersVTampa Bay Buccaneers,TAM,Jaydon Mickens,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Malik Taylor,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Green Bay PackersVTampa Bay Buccaneers,GNB,Marcedes Lewis,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
