Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,6,Houston TexansVTennessee Titans,TEN,Derrick Henry,RB,0,0,2,212,2,0,52,0,0,0,0,0,0,0,0,0,0,0,39.4
2020,6,Houston TexansVTennessee Titans,HOU,Deshaun Watson,QB,4,335,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0
2020,6,Houston TexansVTennessee Titans,TEN,Ryan Tannehill,QB,4,366,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,29.64
2020,6,Houston TexansVTennessee Titans,HOU,Will Fuller,WR,0,0,0,0,6,1,123,0,0,0,0,0,0,0,0,0,0,0,21.3
2020,6,Houston TexansVTennessee Titans,TEN,Anthony Firkser,TE,0,0,0,0,8,1,113,0,0,0,0,0,0,0,0,0,0,0,21.3
2020,6,Houston TexansVTennessee Titans,TEN,A.J. Brown,WR,0,0,0,0,5,2,58,0,0,0,0,0,0,0,0,0,0,0,20.3
2020,6,Houston TexansVTennessee Titans,HOU,Darren Fells,TE,0,0,0,0,6,1,85,0,0,0,0,0,0,0,0,0,0,0,17.5
2020,6,Houston TexansVTennessee Titans,HOU,Brandin Cooks,WR,0,0,0,0,9,1,68,0,0,0,0,0,0,0,0,0,0,0,17.3
2020,6,Houston TexansVTennessee Titans,TEN,Adam Humphries,WR,0,0,0,0,6,1,64,0,0,0,0,0,0,0,0,0,0,0,15.4
2020,6,Houston TexansVTennessee Titans,HOU,David Johnson,RB,0,0,1,57,1,0,12,0,0,0,0,0,0,0,0,0,0,0,13.4
2020,6,Houston TexansVTennessee Titans,HOU,Randall Cobb,WR,0,0,0,0,3,1,17,0,0,0,0,0,0,0,0,0,0,0,9.2
2020,6,Houston TexansVTennessee Titans,TEN,Jeremy McNichols,RB,0,0,0,51,2,0,11,0,0,0,0,0,0,0,0,0,0,0,7.2
2020,6,Houston TexansVTennessee Titans,HOU,Ka'imi Fairbairn,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6.0
2020,6,Houston TexansVTennessee Titans,TEN,Kalif Raymond,WR,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,6,Houston TexansVTennessee Titans,TEN,Stephen Gostkowski,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2020,6,Houston TexansVTennessee Titans,HOU,Pharaoh Brown,TE,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,3.8
2020,6,Houston TexansVTennessee Titans,TEN,Geoff Swaim,WR,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,6,Houston TexansVTennessee Titans,TEN,Cameron Batson,WR,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,6,Houston TexansVTennessee Titans,TEN,Jonnu Smith,TE,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,6,Houston TexansVTennessee Titans,HOU,Duke Johnson,rb,0,0,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,6,Houston TexansVTennessee Titans,TEN,Khari Blasingame,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Houston TexansVTennessee Titans,HOU,DeAndre Carter,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
