Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Patrick Mahomes,QB,2,225,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Travis Kelce,TE,0,0,0,0,5,2,65,0,1,0,0,0,0,0,0,0,0,0,19.0
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Clyde Edwards-Helaire,RB,0,0,0,161,4,0,8,0,0,0,0,0,0,0,0,0,0,0,18.9
2020,6,Kansas City ChiefsVBuffalo Bills,BUF,Josh Allen,QB,2,122,0,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.08
2020,6,Kansas City ChiefsVBuffalo Bills,BUF,Stefon Diggs,WR,0,0,0,0,6,1,46,0,0,0,0,0,0,0,0,0,0,0,13.6
2020,6,Kansas City ChiefsVBuffalo Bills,BUF,Cole Beasley,WR,0,0,0,0,4,1,45,0,0,0,0,0,0,0,0,0,0,0,12.5
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Darrel Williams,RB,0,0,1,26,1,0,15,0,0,0,0,0,0,0,0,0,0,0,10.6
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Demarcus Robinson,WR,0,0,0,0,5,0,69,0,0,0,0,0,0,0,0,0,0,0,9.4
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Harrison Butker,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,8.0
2020,6,Kansas City ChiefsVBuffalo Bills,BUF,Tyler Bass,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6.0
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Byron Pringle,WR,0,0,0,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,5.6
2020,6,Kansas City ChiefsVBuffalo Bills,BUF,Devin Singletary,RB,0,0,0,32,1,0,13,0,0,0,0,0,0,0,0,0,0,0,5.0
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Tyreek Hill,WR,0,0,0,5,3,0,20,0,0,0,0,0,0,0,0,0,0,0,4.0
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Darwin Thompson,RB,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,6,Kansas City ChiefsVBuffalo Bills,BUF,Tyler Kroft,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,6,Kansas City ChiefsVBuffalo Bills,BUF,Gabriel Davis,WR,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,6,Kansas City ChiefsVBuffalo Bills,BUF,Zack Moss,RB,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,6,Kansas City ChiefsVBuffalo Bills,BUF,Isaiah McKenzie,wr,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Nick Keizer,TE,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Ricky Seals-Jones,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Kansas City ChiefsVBuffalo Bills,KAN,Mecole Hardman,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Kansas City ChiefsVBuffalo Bills,BUF,John Brown,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,6,Kansas City ChiefsVBuffalo Bills,BUF,Andre Roberts,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
