Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,7,Buffalo BillsVNew York Jets,BUF,Tyler Bass,K,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,23.0
2020,7,Buffalo BillsVNew York Jets,BUF,Cole Beasley,WR,0,0,0,0,11,0,112,0,0,0,0,0,0,0,0,0,0,0,16.7
2020,7,Buffalo BillsVNew York Jets,BUF,Josh Allen,QB,0,307,0,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.38
2020,7,Buffalo BillsVNew York Jets,NYJ,La'Mical Perine,RB,0,0,1,40,2,0,16,0,0,0,0,0,0,0,0,0,0,0,12.6
2020,7,Buffalo BillsVNew York Jets,BUF,Zack Moss,RB,0,0,0,47,3,0,25,0,0,0,0,0,0,0,0,0,0,0,8.7
2020,7,Buffalo BillsVNew York Jets,BUF,Tyler Kroft,TE,0,0,0,0,4,0,64,0,0,0,0,0,0,0,0,0,0,0,8.4
2020,7,Buffalo BillsVNew York Jets,BUF,Stefon Diggs,WR,0,0,0,0,6,0,48,0,0,0,0,0,0,0,0,0,0,0,7.8
2020,7,Buffalo BillsVNew York Jets,NYJ,Denzel Mims,WR,0,0,0,0,4,0,42,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,7,Buffalo BillsVNew York Jets,NYJ,Frank Gore,RB,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,7,Buffalo BillsVNew York Jets,BUF,Devin Singletary,RB,0,0,0,29,2,0,18,0,0,0,0,0,0,0,0,0,0,0,5.7
2020,7,Buffalo BillsVNew York Jets,NYJ,Braxton Berrios,WR,0,0,0,0,4,0,35,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,7,Buffalo BillsVNew York Jets,NYJ,Sergio Castillo,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.0
2020,7,Buffalo BillsVNew York Jets,NYJ,Breshad Perriman,WR,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,7,Buffalo BillsVNew York Jets,NYJ,Sam Darnold,QB,0,120,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.8
2020,7,Buffalo BillsVNew York Jets,BUF,Reggie Gilliam,TE,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,7,Buffalo BillsVNew York Jets,BUF,Gabriel Davis,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,7,Buffalo BillsVNew York Jets,BUF,Isaiah McKenzie,wr,0,0,0,-11,2,0,14,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,7,Buffalo BillsVNew York Jets,NYJ,Jeff Smith,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,7,Buffalo BillsVNew York Jets,NYJ,Trevon Wesco,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,7,Buffalo BillsVNew York Jets,BUF,Andre Roberts,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,7,Buffalo BillsVNew York Jets,NYJ,Ty Johnson,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
