Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,Joe Burrow,QB,3,406,1,34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,34.64
2020,7,Cleveland BrownsVCincinnati Bengals,CLE,Baker Mayfield,QB,5,297,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.78
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,Tyler Boyd,WR,0,16,0,0,11,1,101,0,0,0,0,0,0,0,0,0,0,0,22.24
2020,7,Cleveland BrownsVCincinnati Bengals,CLE,Harrison Bryant,TE,0,0,0,0,4,2,56,0,0,0,0,0,0,0,0,0,0,0,19.6
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,Giovani Bernard,RB,0,0,0,37,5,1,59,0,0,0,0,0,0,0,0,0,0,0,18.1
2020,7,Cleveland BrownsVCincinnati Bengals,CLE,Kareem Hunt,rb,0,0,0,76,3,1,26,0,0,0,0,0,0,0,0,0,0,0,17.7
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,Tee Higgins,WR,0,0,0,7,5,1,71,0,0,0,0,0,0,0,0,0,0,0,16.3
2020,7,Cleveland BrownsVCincinnati Bengals,CLE,Rashard Higgins,wr,0,0,0,0,6,0,110,0,0,0,0,0,0,0,0,0,0,0,14.0
2020,7,Cleveland BrownsVCincinnati Bengals,CLE,Donovan Peoples-Jones,WR,0,0,0,0,3,1,56,0,0,0,0,0,0,0,0,0,0,0,13.1
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,A.J. Green,WR,0,0,0,0,7,0,82,0,0,0,0,0,0,0,0,0,0,0,11.7
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,Randy Bullock,K,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,10.0
2020,7,Cleveland BrownsVCincinnati Bengals,CLE,David Njoku,te,0,0,0,0,2,1,20,0,0,0,0,0,0,0,0,0,0,0,9.0
2020,7,Cleveland BrownsVCincinnati Bengals,CLE,Jarvis Landry,WR,0,19,0,4,5,0,48,0,0,0,0,0,0,0,0,0,0,0,8.46
2020,7,Cleveland BrownsVCincinnati Bengals,CLE,Cody Parkey,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,8.0
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,Drew Sample,TE,0,0,0,0,5,0,52,0,0,0,0,0,0,0,0,0,0,0,7.7
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,Mike Thomas,WR,0,0,0,0,2,0,54,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,Samaje Perine,RB,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,7,Cleveland BrownsVCincinnati Bengals,CLE,D'Ernest Johnson,RB,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,7,Cleveland BrownsVCincinnati Bengals,CLE,Odell Beckham Jr.,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,Auden Tate,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,Alex Erickson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,7,Cleveland BrownsVCincinnati Bengals,CIN,Brandon Wilson,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
