Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,7,Kansas City ChiefsVDenver Broncos,DEN,Drew Lock,QB,0,254,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14.96
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Tyreek Hill,WR,0,0,0,0,6,1,55,0,0,0,0,0,0,0,0,0,0,0,14.5
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Harrison Butker,K,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,14.0
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Clyde Edwards-Helaire,RB,0,0,1,46,1,0,17,0,0,0,0,0,0,0,0,0,0,0,12.8
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Patrick Mahomes,QB,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0
2020,7,Kansas City ChiefsVDenver Broncos,DEN,Melvin Gordon,RB,0,0,1,68,2,0,12,0,2,0,0,0,0,0,0,0,0,0,11.0
2020,7,Kansas City ChiefsVDenver Broncos,DEN,Albert Okwuegbunam,TE,0,0,0,0,7,0,60,0,0,0,0,0,0,0,0,0,0,0,9.5
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Mecole Hardman,WR,0,0,0,13,2,0,57,0,0,0,0,0,0,0,0,0,0,0,8.0
2020,7,Kansas City ChiefsVDenver Broncos,DEN,Phillip Lindsay,RB,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Chad Henne,QB,0,13,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Byron Pringle,WR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0
2020,7,Kansas City ChiefsVDenver Broncos,DEN,Tim Patrick,WR,0,0,0,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,5.9
2020,7,Kansas City ChiefsVDenver Broncos,DEN,Noah Fant,TE,0,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,7,Kansas City ChiefsVDenver Broncos,DEN,Brandon McManus,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.0
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Travis Kelce,TE,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,4.6
2020,7,Kansas City ChiefsVDenver Broncos,DEN,KJ Hamler,WR,0,0,0,10,2,0,24,0,0,0,0,0,0,0,0,0,0,0,4.4
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Le'Veon Bell,RB,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9
2020,7,Kansas City ChiefsVDenver Broncos,DEN,DaeSean Hamilton,WR,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,7,Kansas City ChiefsVDenver Broncos,DEN,Nick Vannett,TE,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,7,Kansas City ChiefsVDenver Broncos,DEN,Jerry Jeudy,WR,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,3.0
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Nick Keizer,TE,0,0,0,0,2,0,36,0,1,0,0,0,0,0,0,0,0,0,2.6
2020,7,Kansas City ChiefsVDenver Broncos,DEN,Royce Freeman,RB,0,0,0,12,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Marcus Kemp,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,7,Kansas City ChiefsVDenver Broncos,KAN,DeAndre Washington,RB,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,7,Kansas City ChiefsVDenver Broncos,KAN,Demarcus Robinson,WR,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,7,Kansas City ChiefsVDenver Broncos,DEN,Tyrie Cleveland,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
