Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,Diontae Johnson,WR,0,0,0,0,9,2,80,0,0,0,0,0,0,0,0,0,0,0,24.5
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,A.J. Brown,WR,0,0,0,0,6,1,153,0,0,0,0,0,0,0,0,0,0,0,24.3
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,Ryan Tannehill,QB,2,220,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,Ben Roethlisberger,QB,2,268,0,-1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15.62
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,Derrick Henry,RB,0,0,1,75,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,14.2
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,JuJu Smith-Schuster,WR,0,0,0,0,9,0,85,0,0,0,0,0,0,0,0,0,0,0,13.0
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,James Conner,RB,0,0,0,82,3,0,29,0,0,0,0,0,0,0,0,0,0,0,12.6
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,Corey Davis,WR,0,0,0,0,6,1,35,0,0,0,0,0,0,0,0,0,0,0,12.5
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,Chris Boswell,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,9.0
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,Stephen Gostkowski,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,8.0
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,Eric Ebron,TE,0,0,0,0,6,0,50,0,0,0,0,0,0,0,0,0,0,0,8.0
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,Benny Snell Jr.,RB,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,Vance McDonald,TE,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,Adam Humphries,WR,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,Ray-Ray McCloud,WR,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,Anthony Firkser,TE,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,Jonnu Smith,TE,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,Anthony McFarland Jr.,RB,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,Jaylen Samuels,RB,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,Chase Claypool,wr,0,0,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,Jeremy McNichols,RB,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2020,7,Pittsburgh SteelersVTennessee Titans,PIT,James Washington,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,Brett Kern,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,Geoff Swaim,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,7,Pittsburgh SteelersVTennessee Titans,TEN,Kalif Raymond,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
