Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,8,Atlanta FalconsVCarolina Panthers,CAR,Curtis Samuel,WR,0,0,1,23,4,1,31,0,0,0,0,0,0,0,0,0,0,0,19.4
2020,8,Atlanta FalconsVCarolina Panthers,ATL,Matt Ryan,QB,0,281,1,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.94
2020,8,Atlanta FalconsVCarolina Panthers,ATL,Julio Jones,WR,0,0,0,0,7,0,137,0,0,0,0,0,0,0,0,0,0,0,17.2
2020,8,Atlanta FalconsVCarolina Panthers,CAR,Teddy Bridgewater,QB,1,176,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.04
2020,8,Atlanta FalconsVCarolina Panthers,ATL,Younghoe Koo,K,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,13.0
2020,8,Atlanta FalconsVCarolina Panthers,ATL,Todd Gurley,RB,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6
2020,8,Atlanta FalconsVCarolina Panthers,CAR,Mike Davis,RB,0,0,0,66,1,0,11,0,0,0,0,0,0,0,0,0,0,0,8.2
2020,8,Atlanta FalconsVCarolina Panthers,ATL,Hayden Hurst,TE,0,0,0,0,5,0,54,0,0,0,0,0,0,0,0,0,0,0,7.9
2020,8,Atlanta FalconsVCarolina Panthers,ATL,Brian Hill,RB,0,0,0,55,2,0,9,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,8,Atlanta FalconsVCarolina Panthers,CAR,Robby Anderson,WR,0,0,0,0,5,0,48,0,0,0,0,0,0,0,0,0,0,0,7.3
2020,8,Atlanta FalconsVCarolina Panthers,CAR,D.J. Moore,WR,0,0,0,0,2,0,55,0,0,0,0,0,0,0,0,0,0,0,6.5
2020,8,Atlanta FalconsVCarolina Panthers,ATL,Calvin Ridley,WR,0,0,0,0,3,0,42,0,0,0,0,0,0,0,0,0,0,0,5.7
2020,8,Atlanta FalconsVCarolina Panthers,CAR,Joey Slye,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5.0
2020,8,Atlanta FalconsVCarolina Panthers,CAR,Ian Thomas,TE,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,8,Atlanta FalconsVCarolina Panthers,ATL,Russell Gage,WR,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,8,Atlanta FalconsVCarolina Panthers,CAR,Jeremy Chinn,,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
2020,8,Atlanta FalconsVCarolina Panthers,ATL,Christian Blake,WR,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,8,Atlanta FalconsVCarolina Panthers,CAR,Chris Manhertz,TE,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,8,Atlanta FalconsVCarolina Panthers,ATL,Qadree Ollison,RB,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,8,Atlanta FalconsVCarolina Panthers,CAR,Phillip Walker,QB,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12
2020,8,Atlanta FalconsVCarolina Panthers,ATL,Keith Smith,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Atlanta FalconsVCarolina Panthers,CAR,Colin Thompson,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Atlanta FalconsVCarolina Panthers,CAR,Pharoh Cooper,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
