Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Josh Jacobs,RB,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Derek Carr,QB,1,111,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Hunter Renfrow,wr,0,0,0,0,4,1,26,0,0,0,0,0,0,0,0,0,0,0,10.6
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Daniel Carlson,K,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,10.0
2020,8,Las Vegas RaidersVCleveland Browns,CLE,Kareem Hunt,rb,0,0,0,66,2,0,7,0,0,0,0,0,0,0,0,0,0,0,8.3
2020,8,Las Vegas RaidersVCleveland Browns,CLE,Baker Mayfield,QB,0,122,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78
2020,8,Las Vegas RaidersVCleveland Browns,CLE,Jarvis Landry,WR,0,0,0,0,4,0,52,0,0,0,0,0,0,0,0,0,0,0,7.2
2020,8,Las Vegas RaidersVCleveland Browns,CLE,Cody Parkey,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7.0
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Darren Waller,TE,0,0,0,0,5,0,27,0,0,0,0,0,0,0,0,0,0,0,5.2
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Devontae Booker,RB,0,0,0,29,1,0,17,0,0,0,0,0,0,0,0,0,0,0,5.1
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Jason Witten,TE,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,8,Las Vegas RaidersVCleveland Browns,CLE,David Njoku,te,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Jalen Richard,RB,0,0,0,6,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2.3
2020,8,Las Vegas RaidersVCleveland Browns,CLE,Harrison Bryant,TE,0,0,0,0,3,0,25,0,1,0,0,0,0,0,0,0,0,0,2.0
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Henry Ruggs III,WR,0,0,0,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,8,Las Vegas RaidersVCleveland Browns,CLE,Rashard Higgins,wr,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,8,Las Vegas RaidersVCleveland Browns,CLE,D'Ernest Johnson,RB,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Alec Ingold,FB,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Foster Moreau,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Las Vegas RaidersVCleveland Browns,LVR,Nelson Agholor,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Las Vegas RaidersVCleveland Browns,CLE,Andy Janovich,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Las Vegas RaidersVCleveland Browns,CLE,Donovan Peoples-Jones,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
