Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,8,Los Angeles ChargersVDenver Broncos,LAC,Justin Herbert,QB,3,278,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23.22
2020,8,Los Angeles ChargersVDenver Broncos,DEN,Drew Lock,QB,3,248,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.82
2020,8,Los Angeles ChargersVDenver Broncos,LAC,Mike Williams,WR,0,0,0,1,5,1,99,0,0,0,0,0,0,0,0,0,0,0,18.5
2020,8,Los Angeles ChargersVDenver Broncos,LAC,Keenan Allen,WR,0,0,0,0,9,1,67,0,0,0,0,0,0,0,0,0,0,0,17.2
2020,8,Los Angeles ChargersVDenver Broncos,DEN,DaeSean Hamilton,WR,0,0,0,0,4,1,82,0,0,0,0,0,0,0,0,0,0,0,16.2
2020,8,Los Angeles ChargersVDenver Broncos,LAC,Justin Jackson,RB,0,0,0,89,3,0,53,0,0,0,0,0,0,0,0,0,0,0,15.7
2020,8,Los Angeles ChargersVDenver Broncos,DEN,Phillip Lindsay,RB,0,0,1,83,1,0,3,0,0,0,0,0,0,0,0,0,0,0,15.1
2020,8,Los Angeles ChargersVDenver Broncos,LAC,Michael Badgley,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,15.0
2020,8,Los Angeles ChargersVDenver Broncos,LAC,Troymaine Pope,RB,0,0,0,67,5,0,28,0,0,0,0,0,0,0,0,0,0,0,12.0
2020,8,Los Angeles ChargersVDenver Broncos,DEN,Jerry Jeudy,WR,0,0,0,0,4,0,73,0,0,0,0,0,0,0,0,0,0,0,9.3
2020,8,Los Angeles ChargersVDenver Broncos,DEN,KJ Hamler,WR,0,0,0,0,3,1,13,0,0,0,0,0,0,0,0,0,0,0,8.8
2020,8,Los Angeles ChargersVDenver Broncos,DEN,Noah Fant,TE,0,0,0,0,7,0,47,0,0,0,0,0,0,0,0,0,0,0,8.2
2020,8,Los Angeles ChargersVDenver Broncos,DEN,Melvin Gordon,RB,0,0,0,26,6,0,21,0,0,0,0,0,0,0,0,0,0,0,7.7
2020,8,Los Angeles ChargersVDenver Broncos,DEN,Albert Okwuegbunam,TE,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,8,Los Angeles ChargersVDenver Broncos,DEN,Brandon McManus,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,7.0
2020,8,Los Angeles ChargersVDenver Broncos,LAC,Gabe Nabers,RB,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,6.7
2020,8,Los Angeles ChargersVDenver Broncos,LAC,Hunter Henry,TE,0,0,0,0,4,0,33,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,8,Los Angeles ChargersVDenver Broncos,LAC,Joshua Kelley,RB,0,0,0,32,1,0,-7,0,0,0,0,0,0,0,0,0,0,0,3.0
2020,8,Los Angeles ChargersVDenver Broncos,LAC,Jalen Guyton,WR,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,8,Los Angeles ChargersVDenver Broncos,LAC,K.J. Hill,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Los Angeles ChargersVDenver Broncos,LAC,Joe Reed,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Los Angeles ChargersVDenver Broncos,DEN,Bryce Callahan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Los Angeles ChargersVDenver Broncos,DEN,Tyrie Cleveland,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
