Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Robert Woods,WR,0,0,1,9,7,1,85,0,0,0,0,0,0,0,0,0,0,0,24.9
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Cooper Kupp,WR,0,0,0,0,11,0,110,0,0,0,0,0,0,0,0,0,0,0,16.5
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Jared Goff,QB,1,355,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,12.2
2020,8,Los Angeles RamsVMiami Dolphins,MIA,Myles Gaskin,RB,0,0,1,47,3,0,16,0,1,0,0,0,0,0,0,0,0,0,11.8
2020,8,Los Angeles RamsVMiami Dolphins,MIA,Jakeem Grant,WR,0,0,0,0,1,0,15,0,0,0,1,0,0,0,0,0,0,0,8.0
2020,8,Los Angeles RamsVMiami Dolphins,MIA,DeVante Parker,WR,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Malcolm Brown,RB,0,0,0,40,2,0,17,0,0,0,0,0,0,0,0,0,0,0,6.7
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Josh Reynolds,WR,0,0,0,0,4,0,44,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Darrell Henderson,RB,0,0,0,47,1,0,11,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Cam Akers,RB,0,0,0,35,1,0,19,0,0,0,0,0,0,0,0,0,0,0,5.9
2020,8,Los Angeles RamsVMiami Dolphins,MIA,Tua Tagovailoa,QB,1,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.72
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Gerald Everett,TE,0,0,0,0,5,0,32,0,0,0,0,0,0,0,0,0,0,0,5.7
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Kai Forbath,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5.0
2020,8,Los Angeles RamsVMiami Dolphins,MIA,Jason Sanders,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Van Jefferson,WR,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,0,3.3
2020,8,Los Angeles RamsVMiami Dolphins,MIA,Durham Smythe,TE,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,8,Los Angeles RamsVMiami Dolphins,MIA,Preston Williams,WR,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Tyler Higbee,TE,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,8,Los Angeles RamsVMiami Dolphins,MIA,Isaiah Ford,WR,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,8,Los Angeles RamsVMiami Dolphins,MIA,Mike Gesicki,TE,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,8,Los Angeles RamsVMiami Dolphins,MIA,Matt Breida,RB,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,8,Los Angeles RamsVMiami Dolphins,MIA,Malcolm Perry,WR,0,0,0,-5,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,8,Los Angeles RamsVMiami Dolphins,MIA,Adam Shaheen,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Nsimba Webster,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,Los Angeles RamsVMiami Dolphins,LAR,Xavier Jones,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
