Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,8,New England PatriotsVBuffalo Bills,BUF,Zack Moss,RB,0,0,2,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1
2020,8,New England PatriotsVBuffalo Bills,NWE,Cam Newton,QB,0,174,1,54,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18.36
2020,8,New England PatriotsVBuffalo Bills,NWE,Damien Harris,RB,0,0,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2
2020,8,New England PatriotsVBuffalo Bills,BUF,Josh Allen,QB,0,154,1,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.46
2020,8,New England PatriotsVBuffalo Bills,BUF,Stefon Diggs,WR,0,0,0,0,6,0,92,0,0,0,0,0,0,0,0,0,0,0,12.2
2020,8,New England PatriotsVBuffalo Bills,NWE,Jakobi Meyers,WR,0,0,0,0,6,0,58,0,0,0,0,0,0,0,0,0,0,1,10.8
2020,8,New England PatriotsVBuffalo Bills,BUF,Devin Singletary,RB,0,0,0,86,1,0,6,0,0,0,0,0,0,0,0,0,0,0,9.7
2020,8,New England PatriotsVBuffalo Bills,NWE,Nick Folk,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,8.0
2020,8,New England PatriotsVBuffalo Bills,BUF,Tyler Bass,K,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6.0
2020,8,New England PatriotsVBuffalo Bills,NWE,Damiere Byrd,WR,0,0,0,0,3,0,39,0,0,0,0,0,0,0,0,0,0,0,5.4
2020,8,New England PatriotsVBuffalo Bills,NWE,James White,RB,0,0,0,0,2,0,35,0,0,0,0,0,0,0,0,0,0,0,4.5
2020,8,New England PatriotsVBuffalo Bills,NWE,Rex Burkhead,RB,0,0,0,26,1,0,5,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,8,New England PatriotsVBuffalo Bills,NWE,Ryan Izzo,TE,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,8,New England PatriotsVBuffalo Bills,BUF,Cole Beasley,WR,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,8,New England PatriotsVBuffalo Bills,BUF,John Brown,WR,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,8,New England PatriotsVBuffalo Bills,NWE,Isaiah Zuber,WR,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,8,New England PatriotsVBuffalo Bills,BUF,Tyler Kroft,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,8,New England PatriotsVBuffalo Bills,NWE,Gunner Olszewski,WR,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,8,New England PatriotsVBuffalo Bills,BUF,Gabriel Davis,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,8,New England PatriotsVBuffalo Bills,BUF,Andre Roberts,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
